# Decisions for duplicate candidate pairs. 
# Modified by Michael Neil Evans (MNE)
# E-Mail: mnevans@umd.edu
# Modified on: 2024-11-26 15:22:54.622622 (UTC)
index 1,index 2,figure path,datasetId 1,datasetId 2,originalDatabase 1,originalDatabase 2,geo_siteName 1,geo_siteName 2,geo_meanLat 1,geo_meanLat 2,geo_meanLon 1,geo_meanLon 2,geo_meanElevation 1,geo_meanElevation 2,archiveType 1,archiveType 2,paleoData_proxy 1,paleoData_proxy 2,originalDataURL 1,originalDataURL 2,year 1,year 2,Decision 1,Decision 2,Decision type,Decision comment
1,2,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/ch2k/dup_detection/000_ch2k_ZI15MER012_1_ch2k_ZI15MER014_2__1_2.jpg,ch2k_ZI15MER012_1,ch2k_ZI15MER014_2,CoralHydro2k v1.0.0,CoralHydro2k v1.0.0,"Rowley Shoals, Australia","Rowley Shoals, Australia",-17.100000381469727,-17.100000381469727,119.5999984741211,119.5999984741211,-17.0,-17.0,coral,coral,Sr/Ca,Sr/Ca,https://www.ncdc.noaa.gov/paleo/study/19239,https://www.ncdc.noaa.gov/paleo/study/19239,1891.0-2009.0,1891.0-2009.0,KEEP,REMOVE,AUTO: IDENTICAL,RECORDS IDENTICAL (identical data). Automatically choose #1.
42,45,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/ch2k/dup_detection/001_ch2k_ZI14HOU0192_42_ch2k_ZI14HOU0198_45__42_45.jpg,ch2k_ZI14HOU0192_42,ch2k_ZI14HOU0198_45,CoralHydro2k v1.0.0,CoralHydro2k v1.0.0,"Houtman Abrolhos Islands, Australia","Houtman Abrolhos Islands, Australia",-28.459999084472656,-28.459999084472656,113.75,113.75,-8.5,-8.5,coral,coral,d18O,d18O,https://www.ncdc.noaa.gov/paleo/study/16316,https://www.ncdc.noaa.gov/paleo/study/16316,1847.0-2009.0,1847.0-2009.0,KEEP,REMOVE,AUTO: IDENTICAL,RECORDS IDENTICAL (identical data). Automatically choose #1.
43,44,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/ch2k/dup_detection/002_ch2k_ZI14HOU0194_43_ch2k_ZI14HOU0196_44__43_44.jpg,ch2k_ZI14HOU0194_43,ch2k_ZI14HOU0196_44,CoralHydro2k v1.0.0,CoralHydro2k v1.0.0,"Houtman Abrolhos Islands, Australia","Houtman Abrolhos Islands, Australia",-28.459999084472656,-28.459999084472656,113.75,113.75,-8.5,-8.5,coral,coral,Sr/Ca,Sr/Ca,https://www.ncdc.noaa.gov/paleo/study/16316,https://www.ncdc.noaa.gov/paleo/study/16316,1848.0-2010.0,1848.0-2010.0,KEEP,REMOVE,AUTO: IDENTICAL,RECORDS IDENTICAL (identical data). Automatically choose #1.
60,63,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/ch2k/dup_detection/003_ch2k_XI17HAI01128_60_ch2k_XI17HAI01136_63__60_63.jpg,ch2k_XI17HAI01128_60,ch2k_XI17HAI01136_63,CoralHydro2k v1.0.0,CoralHydro2k v1.0.0,"Fengjiawan, Wenchang, China","Fengjiawan, Wenchang, China",19.395000457763672,19.395000457763672,110.75299835205078,110.75299835205078,nan,nan,coral,coral,d18O,d18O,https://www.ncdc.noaa.gov/paleo/study/34452,https://www.ncdc.noaa.gov/paleo/study/34452,167.0-309.0,167.0-309.0,KEEP,REMOVE,AUTO: IDENTICAL,RECORDS IDENTICAL (identical data). Automatically choose #1.
61,62,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/ch2k/dup_detection/004_ch2k_XI17HAI01130_61_ch2k_XI17HAI01134_62__61_62.jpg,ch2k_XI17HAI01130_61,ch2k_XI17HAI01134_62,CoralHydro2k v1.0.0,CoralHydro2k v1.0.0,"Fengjiawan, Wenchang, China","Fengjiawan, Wenchang, China",19.395000457763672,19.395000457763672,110.75299835205078,110.75299835205078,nan,nan,coral,coral,Sr/Ca,Sr/Ca,https://www.ncdc.noaa.gov/paleo/study/34452,https://www.ncdc.noaa.gov/paleo/study/34452,167.0-309.0,167.0-309.0,KEEP,REMOVE,AUTO: IDENTICAL,RECORDS IDENTICAL (identical data). Automatically choose #1.
64,68,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/ch2k/dup_detection/005_ch2k_DE14DTO03140_64_ch2k_DE14DTO01148_68__64_68.jpg,ch2k_DE14DTO03140_64,ch2k_DE14DTO01148_68,CoralHydro2k v1.0.0,CoralHydro2k v1.0.0,"Dry Tortugas, Florida, USA","Dry Tortugas, Florida, USA",24.69879913330078,24.69879913330078,-82.79740142822266,-82.79740142822266,-4.3,-4.3,coral,coral,Sr/Ca,Sr/Ca,https://www.ncdc.noaa.gov/paleo/study/11935,https://www.ncdc.noaa.gov/paleo/study/16217,1945.0-2008.6,1779.1-1967.9,REMOVE,REMOVE,MANUAL,"neither, in favor of the combined record that is here"
84,85,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/ch2k/dup_detection/006_ch2k_EV18ROC01184_84_ch2k_EV18ROC01186_85__84_85.jpg,ch2k_EV18ROC01184_84,ch2k_EV18ROC01186_85,CoralHydro2k v1.0.0,CoralHydro2k v1.0.0,"Rocas Atoll, Rio Grande do Norte, Brazil","Rocas Atoll, Rio Grande do Norte, Brazil",-3.859999895095825,-3.859999895095825,-33.77000045776367,-33.77000045776367,-2.0,-2.0,coral,coral,Sr/Ca,Sr/Ca,https://www.ncdc.noaa.gov/paleo/study/34373,https://www.ncdc.noaa.gov/paleo/study/34373,1970.0-2008.0,1970.0-2008.0,KEEP,REMOVE,AUTO: IDENTICAL,RECORDS IDENTICAL (identical data). Automatically choose #1.
92,93,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/ch2k/dup_detection/007_ch2k_ZI15IMP02200_92_ch2k_ZI15IMP02202_93__92_93.jpg,ch2k_ZI15IMP02200_92,ch2k_ZI15IMP02202_93,CoralHydro2k v1.0.0,CoralHydro2k v1.0.0,"Rowley Shoals, Australia","Rowley Shoals, Australia",-17.51959991455078,-17.51959991455078,118.96900177001953,118.96900177001953,-8.0,-8.0,coral,coral,Sr/Ca,Sr/Ca,https://www.ncdc.noaa.gov/paleo/study/19239,https://www.ncdc.noaa.gov/paleo/study/19239,1798.0-2009.0,1798.0-2009.0,KEEP,REMOVE,AUTO: IDENTICAL,RECORDS IDENTICAL (identical data). Automatically choose #1.
121,122,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/ch2k/dup_detection/008_ch2k_DR99ABR01264_121_ch2k_DR99ABR01266_122__121_122.jpg,ch2k_DR99ABR01264_121,ch2k_DR99ABR01266_122,CoralHydro2k v1.0.0,CoralHydro2k v1.0.0,"Abraham Reef, Australia","Abraham Reef, Australia",-22.100000381469727,-22.100000381469727,153.0,153.0,-10.0,-10.0,coral,coral,d18O,d18O,https://www.ncdc.noaa.gov/paleo/study/1911,https://www.ncdc.noaa.gov/paleo/study/1911,1638.3-1983.3,1638.3-1983.3,KEEP,REMOVE,AUTO: IDENTICAL,RECORDS IDENTICAL (identical data). Automatically choose #1.
128,129,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/ch2k/dup_detection/009_ch2k_ZI15TAN01278_128_ch2k_ZI15TAN01280_129__128_129.jpg,ch2k_ZI15TAN01278_128,ch2k_ZI15TAN01280_129,CoralHydro2k v1.0.0,CoralHydro2k v1.0.0,"Ningaloo Reef, Australia","Ningaloo Reef, Australia",-21.89299964904785,-21.89299964904785,113.96299743652344,113.96299743652344,-2.5,-2.5,coral,coral,Sr/Ca,Sr/Ca,https://www.ncdc.noaa.gov/paleo/study/19239,https://www.ncdc.noaa.gov/paleo/study/19239,1952.0-1999.0,1952.0-1999.0,KEEP,REMOVE,AUTO: IDENTICAL,RECORDS IDENTICAL (identical data). Automatically choose #1.
