index 1,index 2,ID 1,ID 2,correlation,distance (km)
1,2,ch2k_ZI15MER012_1,ch2k_ZI15MER014_2,1.0,0.0
42,45,ch2k_ZI14HOU0192_42,ch2k_ZI14HOU0198_45,1.0,0.0
43,44,ch2k_ZI14HOU0194_43,ch2k_ZI14HOU0196_44,0.9999999999999999,0.0
60,63,ch2k_XI17HAI01128_60,ch2k_XI17HAI01136_63,1.0,0.0
61,62,ch2k_XI17HAI01130_61,ch2k_XI17HAI01134_62,0.9999999999999999,0.0
64,68,ch2k_DE14DTO03140_64,ch2k_DE14DTO01148_68,0.9484736035921149,0.0
84,85,ch2k_EV18ROC01184_84,ch2k_EV18ROC01186_85,1.0,0.0
92,93,ch2k_ZI15IMP02200_92,ch2k_ZI15IMP02202_93,1.0,0.0
121,122,ch2k_DR99ABR01264_121,ch2k_DR99ABR01266_122,1.0,0.0
128,129,ch2k_ZI15TAN01278_128,ch2k_ZI15TAN01280_129,1.0,0.0
138,139,ch2k_DU94URV02298_138,ch2k_DU94URV02300_139,0.9999999999999998,0.0
151,152,ch2k_ZI15IMP01328_151,ch2k_ZI15IMP01330_152,1.0,0.0
155,156,ch2k_RO19YUC01338_155,ch2k_RO19YUC01340_156,1.0,0.0
194,197,ch2k_DE13HAI01424_194,ch2k_DE13HAI01432_197,0.9999999999999998,0.0
195,196,ch2k_DE13HAI01426_195,ch2k_DE13HAI01430_196,1.0,0.0
199,200,ch2k_ZI15CLE01438_199,ch2k_ZI15CLE01440_200,0.9999999999999999,0.0
212,213,ch2k_DU94URV01468_212,ch2k_DU94URV01470_213,1.0,0.0
217,218,ch2k_ZI14TUR01480_217,ch2k_ZI14TUR01482_218,1.0,0.0
221,222,ch2k_ZI15BUN01488_221,ch2k_ZI15BUN01490_222,1.0,0.0
227,230,ch2k_WU13TON01502_227,ch2k_WU13TON01508_230,0.9999999999999999,0.0
228,229,ch2k_WU13TON01504_228,ch2k_WU13TON01506_229,1.0,0.0
231,234,ch2k_KI14PAR01510_231,ch2k_KI14PAR01518_234,0.9999999999999999,0.0
232,233,ch2k_KI14PAR01512_232,ch2k_KI14PAR01516_233,1.0,0.0
235,236,ch2k_ZI14IFR02522_235,ch2k_ZI14IFR02524_236,1.0,0.0
238,241,ch2k_KI08PAR01528_238,ch2k_KI08PAR01534_241,1.0,0.0
239,240,ch2k_KI08PAR01530_239,ch2k_KI08PAR01532_240,1.0,0.0
