# Decisions for duplicate candidate pairs. 
# Operated by Lucie Luecke (LL)
# E-Mail: ljluec1@st-andrews.ac.uk
# Created on: 2025-11-11 12:59:20.398076 (UTC)
# test test test
index 1,index 2,figure path,datasetId 1,datasetId 2,originalDatabase 1,originalDatabase 2,geo_siteName 1,geo_siteName 2,geo_meanLat 1,geo_meanLat 2,geo_meanLon 1,geo_meanLon 2,geo_meanElevation 1,geo_meanElevation 2,archiveType 1,archiveType 2,paleoData_proxy 1,paleoData_proxy 2,originalDataURL 1,originalDataURL 2,year 1,year 2,Decision 1,Decision 2,Decision type,Decision comment
0,4967,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/all_merged/dup_detection/000_pages2k_0_iso2k_296__0_4967.jpg,pages2k_0,iso2k_296,PAGES 2k v2.2.0,Iso2k v1.1.2,WDC05A,WDC05A,-79.45999908447266,-79.45999908447266,-112.08999633789062,-112.08999633789062,1806.0,1806.0,GlacierIce,GlacierIce,d18O,d18O,http://dx.doi.org/10.7265/N5QJ7F8B,https://www.ncdc.noaa.gov/paleo/study/22531,786.0-2005.0,786.0-2005.0,REMOVE,KEEP,AUTO: IDENTICAL except for URLs and/or geo_siteName.,RECORDS IDENTICAL (perfect correlation) except for URLs and/or site Name. Automatically choose #2.
0,4968,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/all_merged/dup_detection/001_pages2k_0_iso2k_298__0_4968.jpg,pages2k_0,iso2k_298,PAGES 2k v2.2.0,Iso2k v1.1.2,WDC05A,WDC05A,-79.45999908447266,-79.45999908447266,-112.08999633789062,-112.08999633789062,1806.0,1806.0,GlacierIce,GlacierIce,d18O,d18O,http://dx.doi.org/10.7265/N5QJ7F8B,https://www.ncdc.noaa.gov/paleo/study/22531,786.0-2005.0,786.0-2005.0,REMOVE,KEEP,AUTO: IDENTICAL except for URLs and/or geo_siteName.,RECORDS IDENTICAL (perfect correlation) except for URLs and/or site Name. Automatically choose #2.
0,4969,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/all_merged/dup_detection/002_pages2k_0_iso2k_299__0_4969.jpg,pages2k_0,iso2k_299,PAGES 2k v2.2.0,Iso2k v1.1.2,WDC05A,WDC05A,-79.45999908447266,-79.45999908447266,-112.08999633789062,-112.08999633789062,1806.0,1806.0,GlacierIce,GlacierIce,d18O,d18O,http://dx.doi.org/10.7265/N5QJ7F8B,https://www.ncdc.noaa.gov/paleo/study/22531,786.0-2005.0,786.0-2005.0,REMOVE,KEEP,AUTO: IDENTICAL except for URLs and/or geo_siteName.,RECORDS IDENTICAL (perfect correlation) except for URLs and/or site Name. Automatically choose #2.
2,3596,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/all_merged/dup_detection/003_pages2k_6_FE23_northamerica_usa_az555__2_3596.jpg,pages2k_6,FE23_northamerica_usa_az555,PAGES 2k v2.2.0,FE23 (Breitenmoser et al. (2014)),Mt. Lemon,Mt.Lemon,32.5,32.45000076293945,-110.80000305175781,-110.78333282470703,2700.0,2700.0,Wood,Wood,ring width,ring width,https://www.ncdc.noaa.gov/paleo/study/2838,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/az555-noaa.rwl,1568.0-1983.0,1633.0-1983.0,KEEP,REMOVE,MANUAL,
6,13,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/all_merged/dup_detection/004_pages2k_13_pages2k_26__6_13.jpg,pages2k_13,pages2k_26,PAGES 2k v2.2.0,PAGES 2k v2.2.0,Mt. Lemon,Mt. Lemon,32.5,32.5,-110.80000305175781,-110.80000305175781,2700.0,2700.0,Wood,Wood,EPS,EPS,https://www.ncdc.noaa.gov/paleo/study/2838,https://www.ncdc.noaa.gov/paleo/study/2838,1568.0-1983.0,1568.0-1983.0,REMOVE,REMOVE,MANUAL,
7,14,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/all_merged/dup_detection/005_pages2k_14_pages2k_27__7_14.jpg,pages2k_14,pages2k_27,PAGES 2k v2.2.0,PAGES 2k v2.2.0,Mt. Lemon,Mt. Lemon,32.5,32.5,-110.80000305175781,-110.80000305175781,2700.0,2700.0,Wood,Wood,core,core,https://www.ncdc.noaa.gov/paleo/study/2838,https://www.ncdc.noaa.gov/paleo/study/2838,1568.0-1983.0,1568.0-1983.0,KEEP,REMOVE,AUTO: IDENTICAL,RECORDS IDENTICAL (identical data). Automatically choose #1.
26,2146,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/all_merged/dup_detection/006_pages2k_50_FE23_northamerica_canada_cana091__26_2146.jpg,pages2k_50,FE23_northamerica_canada_cana091,PAGES 2k v2.2.0,FE23 (Breitenmoser et al. (2014)),Smithers Ski Area,SmithersSkiArea,54.900001525878906,54.900001525878906,-127.30000305175781,-127.25,1200.0,1200.0,Wood,Wood,ring width,ring width,https://www.ncdc.noaa.gov/paleo/study/4658,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana091-noaa.rwl,1680.0-1983.0,1713.0-1983.0,KEEP,REMOVE,MANUAL,
31,38,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/all_merged/dup_detection/007_pages2k_58_pages2k_71__31_38.jpg,pages2k_58,pages2k_71,PAGES 2k v2.2.0,PAGES 2k v2.2.0,Smithers Ski Area,Smithers Ski Area,54.900001525878906,54.900001525878906,-127.30000305175781,-127.30000305175781,1200.0,1200.0,Wood,Wood,core,core,https://www.ncdc.noaa.gov/paleo/study/4658,https://www.ncdc.noaa.gov/paleo/study/4658,1680.0-1983.0,1680.0-1983.0,KEEP,REMOVE,AUTO: IDENTICAL,RECORDS IDENTICAL (identical data). Automatically choose #1.
32,33,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/all_merged/dup_detection/008_pages2k_62_pages2k_63__32_33.jpg,pages2k_62,pages2k_63,PAGES 2k v2.2.0,PAGES 2k v2.2.0,Smithers Ski Area,Smithers Ski Area,54.900001525878906,54.900001525878906,-127.30000305175781,-127.30000305175781,1200.0,1200.0,Wood,Wood,maximum latewood density,maximum latewood density,https://www.ncdc.noaa.gov/paleo/study/4658,https://www.ncdc.noaa.gov/paleo/study/4658,1680.0-1983.0,1680.0-1983.0,KEEP,KEEP,MANUAL,b
44,4705,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/all_merged/dup_detection/009_pages2k_81_ch2k_HE08LRA01_76__44_4705.jpg,pages2k_81,ch2k_HE08LRA01_76,PAGES 2k v2.2.0,CoralHydro2k v1.0.1,"Los Roques, Venezuela","Cayo Sal, Los Roques Archipelago, Venezuela",11.770000457763672,11.770000457763672,-66.75,-66.75,-2.0,-2.0,Coral,Coral,d18O,d18O,https://www.ncdc.noaa.gov/paleo/study/12891,https://www.ncdc.noaa.gov/paleo/study/12891,1917.8-2004.8,1917.8-2004.8,REMOVE,KEEP,AUTO: IDENTICAL except for URLs and/or geo_siteName.,RECORDS IDENTICAL (perfect correlation) except for URLs and/or site Name. Automatically choose #2.
44,5295,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/all_merged/dup_detection/010_pages2k_81_iso2k_1813__44_5295.jpg,pages2k_81,iso2k_1813,PAGES 2k v2.2.0,Iso2k v1.1.2,"Los Roques, Venezuela","Cayo Sal, Los Roques Archipelago, Venezuela",11.770000457763672,11.770000457763672,-66.75,-66.75,-2.0,-2.0,Coral,Coral,d18O,d18O,https://www.ncdc.noaa.gov/paleo/study/12891,https://www.ncdc.noaa.gov/paleo/study/12891,1917.8-2004.8,1917.8-2004.8,REMOVE,KEEP,AUTO: IDENTICAL except for URLs and/or geo_siteName.,RECORDS IDENTICAL (perfect correlation) except for URLs and/or site Name. Automatically choose #2.
45,5326,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/all_merged/dup_detection/011_pages2k_83_iso2k_1916__45_5326.jpg,pages2k_83,iso2k_1916,PAGES 2k v2.2.0,Iso2k v1.1.2,Agassiz,Agassiz A79,80.69999694824219,80.69999694824219,-73.0999984741211,-73.0999984741211,1700.0,1700.0,GlacierIce,GlacierIce,d18O,d18O,https://www.ncdc.noaa.gov/paleo/study/11131,https://www.ncdc.noaa.gov/paleo-search/study/2431,1.0-1972.0,1.0-1972.0,REMOVE,KEEP,AUTO: IDENTICAL except for URLs and/or geo_siteName.,RECORDS IDENTICAL (identical data) except for URLs and/or site Name. Automatically choose #2.
46,47,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/all_merged/dup_detection/012_pages2k_85_pages2k_88__46_47.jpg,pages2k_85,pages2k_88,PAGES 2k v2.2.0,PAGES 2k v2.2.0,Laguna Chepical,Laguna Chepical,-32.266700744628906,-32.266700744628906,-70.5,-70.5,3050.0,3050.0,LakeSediment,LakeSediment,reflectance,reflectance,https://www.ncdc.noaa.gov/paleo/study/20366,https://www.ncdc.noaa.gov/paleo/study/20366,1.0-2005.0,1.0-2005.0,KEEP,REMOVE,AUTO: IDENTICAL,RECORDS IDENTICAL (perfect correlation). Automatically choose #1.
49,2198,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/all_merged/dup_detection/013_pages2k_94_FE23_northamerica_canada_cana153__49_2198.jpg,pages2k_94,FE23_northamerica_canada_cana153,PAGES 2k v2.2.0,FE23 (Breitenmoser et al. (2014)),Coppermine River,CoppermineRiver,67.19999694824219,67.23332977294922,-115.9000015258789,-115.91666412353516,213.0,213.0,Wood,Wood,ring width,ring width,https://www.ncdc.noaa.gov/paleo/study/3592,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana153-noaa.rwl,1428.0-1977.0,1508.0-1977.0,KEEP,REMOVE,MANUAL,
56,3368,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/all_merged/dup_detection/014_pages2k_107_FE23_northamerica_usa_ak046__56_3368.jpg,pages2k_107,FE23_northamerica_usa_ak046,PAGES 2k v2.2.0,FE23 (Breitenmoser et al. (2014)),Kobuk/Noatak,Kobuk/Noatak,67.0999984741211,67.06666564941406,-159.60000610351562,-159.61666870117188,100.0,100.0,Wood,Wood,ring width,ring width,https://www.ncdc.noaa.gov/paleo/study/3706,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak046-noaa.rwl,978.0-1992.0,1126.0-1992.0,KEEP,REMOVE,MANUAL,
65,66,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/all_merged/dup_detection/015_pages2k_121_pages2k_122__65_66.jpg,pages2k_121,pages2k_122,PAGES 2k v2.2.0,PAGES 2k v2.2.0,Central Andes composite 9,Central Andes composite 9,-39.33000183105469,-39.33000183105469,-71.25,-71.25,1100.0,1100.0,Wood,Wood,ring width,ring width,http://www.ncdc.noaa.gov/paleo/study/1003953,http://www.ncdc.noaa.gov/paleo/study/1003953,1636.0-2006.0,1636.0-2006.0,KEEP,REMOVE,MANUAL,
71,2265,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/all_merged/dup_detection/016_pages2k_132_FE23_northamerica_canada_cana225__71_2265.jpg,pages2k_132,FE23_northamerica_canada_cana225,PAGES 2k v2.2.0,FE23 (Breitenmoser et al. (2014)),Meadow Mountain,MeadowMountain,50.20000076293945,50.233333587646484,-117.0999984741211,-117.08333587646484,2100.0,2100.0,Wood,Wood,ring width,ring width,https://www.ncdc.noaa.gov/paleo/study/5520,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana225-noaa.rwl,1669.0-1997.0,1707.0-1997.0,KEEP,REMOVE,MANUAL,
75,82,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/all_merged/dup_detection/017_pages2k_139_pages2k_152__75_82.jpg,pages2k_139,pages2k_152,PAGES 2k v2.2.0,PAGES 2k v2.2.0,Meadow Mountain,Meadow Mountain,50.20000076293945,50.20000076293945,-117.0999984741211,-117.0999984741211,2100.0,2100.0,Wood,Wood,EPS,EPS,https://www.ncdc.noaa.gov/paleo/study/5520,https://www.ncdc.noaa.gov/paleo/study/5520,1669.0-1997.0,1685.0-1997.0,REMOVE,REMOVE,MANUAL,
