# Decisions for duplicate candidate pairs. 
# Operated by Lucie Luecke (LL)
# E-Mail: ljluec1@st-andrews.ac.uk
# Created on: 2025-12-11 12:57:05.712619 (UTC)
# test
index 1,index 2,figure path,datasetId 1,datasetId 2,originalDatabase 1,originalDatabase 2,geo_siteName 1,geo_siteName 2,geo_meanLat 1,geo_meanLat 2,geo_meanLon 1,geo_meanLon 2,geo_meanElevation 1,geo_meanElevation 2,archiveType 1,archiveType 2,paleoData_proxy 1,paleoData_proxy 2,originalDataURL 1,originalDataURL 2,year 1,year 2,Decision 1,Decision 2,Decision type,Decision comment
0,4408,no figure,pages2k_0,iso2k_296,PAGES 2k v2.2.0,Iso2k v1.1.2,WDC05A,WDC05A,-79.45999908447266,-79.45999908447266,-112.08999633789062,-112.08999633789062,1806.0,1806.0,GlacierIce,GlacierIce,d18O,d18O,https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ant-WDC05A.Steig.2013.txt,https://www.ncdc.noaa.gov/paleo/study/22531,786.0-2005.0,786.0-2005.0,REMOVE,KEEP,AUTO: IDENTICAL except for URLs and/or geo_siteName.,RECORDS IDENTICAL (perfect correlation) except for metadata. Automatically choose #2.
0,4409,no figure,pages2k_0,iso2k_298,PAGES 2k v2.2.0,Iso2k v1.1.2,WDC05A,WDC05A,-79.45999908447266,-79.45999908447266,-112.08999633789062,-112.08999633789062,1806.0,1806.0,GlacierIce,GlacierIce,d18O,d18O,https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ant-WDC05A.Steig.2013.txt,https://www.ncdc.noaa.gov/paleo/study/22531,786.0-2005.0,786.0-2005.0,REMOVE,KEEP,AUTO: IDENTICAL except for URLs and/or geo_siteName.,RECORDS IDENTICAL (perfect correlation) except for metadata. Automatically choose #2.
0,4410,no figure,pages2k_0,iso2k_299,PAGES 2k v2.2.0,Iso2k v1.1.2,WDC05A,WDC05A,-79.45999908447266,-79.45999908447266,-112.08999633789062,-112.08999633789062,1806.0,1806.0,GlacierIce,GlacierIce,d18O,d18O,https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ant-WDC05A.Steig.2013.txt,https://www.ncdc.noaa.gov/paleo/study/22531,786.0-2005.0,786.0-2005.0,REMOVE,KEEP,AUTO: IDENTICAL except for URLs and/or geo_siteName.,RECORDS IDENTICAL (perfect correlation) except for metadata. Automatically choose #2.
2,3037,no figure,pages2k_6,FE23_northamerica_usa_az555,PAGES 2k v2.2.0,FE23 (Breitenmoser et al. (2014)),Mt. Lemon,Mt.Lemon,32.5,32.45000076293945,-110.80000305175781,-110.78333282470703,2700.0,2700.0,Wood,Wood,ring width,ring width,https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/NAm-MtLemon.Briffa.2002-1.txt,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/az555-noaa.rwl,1568.0-1983.0,1633.0-1983.0,REMOVE,KEEP,AUTO: preferred db and metadata identical.,"Automated choice. Metadata identical, automatically choose FE23 (Breitenmoser et al. (2014)) over PAGES 2k v2.2.0. conservative replication requirement"
17,1587,no figure,pages2k_50,FE23_northamerica_canada_cana091,PAGES 2k v2.2.0,FE23 (Breitenmoser et al. (2014)),Smithers Ski Area,SmithersSkiArea,54.900001525878906,54.900001525878906,-127.30000305175781,-127.25,1200.0,1200.0,Wood,Wood,ring width,ring width,https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/NAm-SmithersSkiArea.Schweingruber.1996-1.txt,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana091-noaa.rwl,1680.0-1983.0,1713.0-1983.0,REMOVE,KEEP,AUTO: preferred db and metadata identical.,"Automated choice. Metadata identical, automatically choose FE23 (Breitenmoser et al. (2014)) over PAGES 2k v2.2.0. conservative replication requirement"
20,21,"https://nzero.umd.edu:444/hub/user-redirect/lab/tree/dod2k_v2.0/figs/dup_detection/all_merged005_pages2k_62_pages2k_63__20_21,jpg",pages2k_62,pages2k_63,PAGES 2k v2.2.0,PAGES 2k v2.2.0,Smithers Ski Area,Smithers Ski Area,54.900001525878906,54.900001525878906,-127.30000305175781,-127.30000305175781,1200.0,1200.0,Wood,Wood,maximum latewood density,maximum latewood density,https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/NAm-SmithersSkiArea.Schweingruber.1996-2.txt,https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/NAm-SmithersSkiArea.Schweingruber.1996-2.txt,1680.0-1983.0,1680.0-1983.0,KEEP,KEEP,MANUAL,
29,4146,no figure,pages2k_81,ch2k_HE08LRA01_76,PAGES 2k v2.2.0,CoralHydro2k v1.0.1,"Los Roques, Venezuela","Cayo Sal, Los Roques Archipelago, Venezuela",11.770000457763672,11.770000457763672,-66.75,-66.75,-2.0,-2.0,Coral,Coral,d18O,d18O,https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-LosRoques.Hetzinger.2008.txt,https://www.ncdc.noaa.gov/paleo/study/12891,1917.8-2004.8,1917.8-2004.8,REMOVE,KEEP,AUTO: IDENTICAL except for URLs and/or geo_siteName.,RECORDS IDENTICAL (perfect correlation) except for metadata. Automatically choose #2.
29,4736,no figure,pages2k_81,iso2k_1813,PAGES 2k v2.2.0,Iso2k v1.1.2,"Los Roques, Venezuela","Cayo Sal, Los Roques Archipelago, Venezuela",11.770000457763672,11.770000457763672,-66.75,-66.75,-2.0,-2.0,Coral,Coral,d18O,d18O,https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-LosRoques.Hetzinger.2008.txt,https://www.ncdc.noaa.gov/paleo/study/12891,1917.8-2004.8,1917.8-2004.8,REMOVE,KEEP,AUTO: IDENTICAL except for URLs and/or geo_siteName.,RECORDS IDENTICAL (perfect correlation) except for metadata. Automatically choose #2.
30,4767,no figure,pages2k_83,iso2k_1916,PAGES 2k v2.2.0,Iso2k v1.1.2,Agassiz,Agassiz A79,80.69999694824219,80.69999694824219,-73.0999984741211,-73.0999984741211,1700.0,1700.0,GlacierIce,GlacierIce,d18O,d18O,https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Arc-Agassiz.Vinther.2008.txt,https://www.ncdc.noaa.gov/paleo-search/study/2431,1.0-1972.0,1.0-1972.0,REMOVE,KEEP,AUTO: IDENTICAL except for URLs and/or geo_siteName.,RECORDS IDENTICAL (identical data) except for metadata. Automatically choose #2.
31,32,no figure,pages2k_85,pages2k_88,PAGES 2k v2.2.0,PAGES 2k v2.2.0,Laguna Chepical,Laguna Chepical,-32.266700744628906,-32.266700744628906,-70.5,-70.5,3050.0,3050.0,LakeSediment,LakeSediment,reflectance,reflectance,https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/SAm-LagunaChepical.deJong.2013.txt,https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/SAm-LagunaChepical.deJong.2013.txt,1.0-2005.0,1.0-2005.0,KEEP,REMOVE,AUTO: IDENTICAL,RECORDS IDENTICAL (perfect correlation). Automatically choose #1.
