index 1,index 2,ID 1,ID 2,correlation,distance (km)
0,4967,pages2k_0,iso2k_296,0.9999999995947852,0.0
0,4968,pages2k_0,iso2k_298,0.9999999995947852,0.0
0,4969,pages2k_0,iso2k_299,0.9999999995947852,0.0
2,3596,pages2k_6,FE23_northamerica_usa_az555,0.978353859816631,5.775408685862238
6,13,pages2k_13,pages2k_26,0.9170191441221289,0.0
7,14,pages2k_14,pages2k_27,1.0,0.0
26,2146,pages2k_50,FE23_northamerica_canada_cana091,0.96744005531804,3.197082790629511
31,38,pages2k_58,pages2k_71,0.9999999999999999,0.0
32,33,pages2k_62,pages2k_63,0.9442037258051708,0.0
44,4705,pages2k_81,ch2k_HE08LRA01_76,0.9999999922133571,0.0
44,5295,pages2k_81,iso2k_1813,0.9999999922133571,0.0
45,5326,pages2k_83,iso2k_1916,1.0,0.0
46,47,pages2k_85,pages2k_88,0.9999999961181426,0.0
49,2198,pages2k_94,FE23_northamerica_canada_cana153,0.9966755891483052,3.775253335744946
56,3368,pages2k_107,FE23_northamerica_usa_ak046,0.9805747494703709,3.776010469650001
65,66,pages2k_121,pages2k_122,0.9815589923346684,0.0
71,2265,pages2k_132,FE23_northamerica_canada_cana225,0.9956052895756169,3.8914450331074146
75,82,pages2k_139,pages2k_152,0.919427359149821,0.0
76,83,pages2k_140,pages2k_153,0.9898767885950106,0.0
85,4577,pages2k_158,FE23_northamerica_usa_wa069,0.9970316184150805,3.6691109671311533
90,337,pages2k_166,pages2k_634,0.9882916025597464,0.0
92,4661,pages2k_171,FE23_northamerica_usa_wy021,0.9852616141387474,6.841598008457665
97,104,pages2k_179,pages2k_192,1.0,0.0
108,5085,pages2k_203,iso2k_826,1.0,0.0
118,4258,pages2k_225,FE23_northamerica_usa_nv512,0.9654504918783549,4.66349518850797
125,5135,pages2k_238,iso2k_1044,0.999999999864411,0.0
127,4887,pages2k_242,ch2k_LI06FIJ01_582,1.0,0.5087587517213885
127,4982,pages2k_242,iso2k_353,1.0,0.0
133,5219,pages2k_258,iso2k_1498,1.0,0.0
136,5188,pages2k_263,iso2k_1322,1.0,1.1119762877768709
138,4911,pages2k_267,iso2k_58,0.9997675035800241,0.5087587517215614
138,5140,pages2k_267,iso2k_1068,1.0,0.5087587517215614
140,4865,pages2k_271,ch2k_FE18RUS01_492,0.9999999999999998,1.0009991654937371
140,5312,pages2k_271,iso2k_1861,0.9999999999999998,0.0
141,3228,pages2k_273,FE23_asia_russ130w,0.9680483685544978,0.43810000685217965
144,2200,pages2k_281,FE23_northamerica_canada_cana155,0.9890405986205609,4.046549942741809
151,3343,pages2k_294,FE23_northamerica_usa_ak021,0.9872961006283816,0.9263994682764632
158,160,pages2k_305,pages2k_309,0.9999999999999999,0.0
159,161,pages2k_307,pages2k_311,1.0,0.0
163,4984,pages2k_315,iso2k_362,1.0,0.392681883222941
164,4707,pages2k_317,ch2k_NA09MAL01_84,0.9999999999999999,0.0
164,5281,pages2k_317,iso2k_1754,0.9999999999999999,0.0
166,2250,pages2k_323,FE23_northamerica_canada_cana210,0.9489902863469503,1.8532231170308289
182,189,pages2k_353,pages2k_366,1.0,0.0
199,4795,pages2k_385,ch2k_FE09OGA01_304,0.9999999999999999,0.0
199,5328,pages2k_385,iso2k_1922,0.9999999999999999,0.0
200,4796,pages2k_387,ch2k_FE09OGA01_306,0.9999999999999998,0.0
205,4830,pages2k_395,ch2k_CA07FLI01_400,0.9999999999999998,0.0
205,5138,pages2k_395,iso2k_1057,0.9999999999999998,0.0
206,4831,pages2k_397,ch2k_CA07FLI01_402,0.9999999999999998,0.0
212,4839,pages2k_409,ch2k_QU96ESV01_422,1.0,1.0734720312673933
212,4945,pages2k_409,iso2k_218,1.0,1.0734720312673933
215,218,pages2k_414,pages2k_418,1.0,0.0
216,219,pages2k_416,pages2k_420,0.9999999999999999,0.0
217,220,pages2k_417,pages2k_421,1.0,0.0
226,232,pages2k_427,pages2k_433,0.9830221452780444,0.0
234,443,pages2k_435,pages2k_842,0.985599330581395,0.0
237,238,pages2k_444,pages2k_445,0.9999996722608566,0.0
237,239,pages2k_444,pages2k_446,0.9999998768494976,0.0
238,239,pages2k_445,pages2k_446,0.9999997978711364,0.0
248,4767,pages2k_462,ch2k_OS14UCP01_236,0.9999999861930808,0.0
248,4981,pages2k_462,iso2k_350,0.9999999861930808,0.0
251,1845,pages2k_468,pages2k_3550,0.987098513022764,0.0
251,3235,pages2k_468,FE23_asia_russ137w,0.9989192723158107,0.37072945852236205
253,254,pages2k_472,pages2k_474,0.9990780776141112,0.0
253,256,pages2k_472,pages2k_477,0.9991742362392582,0.0
254,256,pages2k_474,pages2k_477,0.9999463761497797,0.0
257,5303,pages2k_478,iso2k_1846,1.0,0.0
260,3716,pages2k_486,FE23_northamerica_usa_ca609,0.9741227085165551,1.8532231170308289
266,4682,pages2k_495,ch2k_LI06RAR01_12,1.0,0.0
266,5221,pages2k_495,iso2k_1502,1.0,0.0
269,4794,pages2k_500,ch2k_AS05GUA01_302,1.0,0.0243685480819044
