index 1,index 2,ID 1,ID 2,correlation,distance (km)
0,4235,pages2k_0,iso2k_296,0.9999999995947852,0.0
0,4236,pages2k_0,iso2k_298,0.9999999995947852,0.0
0,4237,pages2k_0,iso2k_299,0.9999999995947852,0.0
2,2864,pages2k_6,FE23_northamerica_usa_az555,0.978353859816631,5.775408685862238
14,1414,pages2k_50,FE23_northamerica_canada_cana091,0.9674400553180403,3.197082790629511
16,17,pages2k_62,pages2k_63,0.9442037258051723,0.0
24,3973,pages2k_81,ch2k_HE08LRA01_76,0.9999999922133574,0.0
24,4563,pages2k_81,iso2k_1813,0.9999999922133574,0.0
25,4594,pages2k_83,iso2k_1916,0.9999999999999999,0.0
26,27,pages2k_85,pages2k_88,0.999999996118143,0.0
29,1466,pages2k_94,FE23_northamerica_canada_cana153,0.996675589148305,3.775253335744946
32,2636,pages2k_107,FE23_northamerica_usa_ak046,0.9805747494703706,3.776010469650001
37,38,pages2k_121,pages2k_122,0.9815589923346684,0.0
43,1533,pages2k_132,FE23_northamerica_canada_cana225,0.9956052895756172,3.8914450331074146
49,3845,pages2k_158,FE23_northamerica_usa_wa069,0.9970316184150801,3.6691109671311533
52,3929,pages2k_171,FE23_northamerica_usa_wy021,0.9852616141387495,6.841598008457665
60,4353,pages2k_203,iso2k_826,1.0,0.0
70,3526,pages2k_225,FE23_northamerica_usa_nv512,0.9654504918783551,4.66349518850797
73,4403,pages2k_238,iso2k_1044,0.9999999998644115,0.0
75,4155,pages2k_242,ch2k_LI06FIJ01_582,1.0,0.5087587517213885
75,4250,pages2k_242,iso2k_353,1.0,0.0
81,4487,pages2k_258,iso2k_1498,1.0,0.0
84,4456,pages2k_263,iso2k_1322,1.0,1.1119762877768709
86,4179,pages2k_267,iso2k_58,0.9997675035800243,0.5087587517215614
86,4408,pages2k_267,iso2k_1068,0.9999999999999999,0.5087587517215614
88,4133,pages2k_271,ch2k_FE18RUS01_492,1.0,1.0009991654937371
88,4580,pages2k_271,iso2k_1861,1.0,0.0
89,2496,pages2k_273,FE23_asia_russ130w,0.9680483685544976,0.43810000685217965
92,1468,pages2k_281,FE23_northamerica_canada_cana155,0.9890405986205609,4.046549942741809
95,2611,pages2k_294,FE23_northamerica_usa_ak021,0.9872961006283816,0.9263994682764632
98,100,pages2k_305,pages2k_309,0.9999999999999999,0.0
99,101,pages2k_307,pages2k_311,1.0,0.0
103,4252,pages2k_315,iso2k_362,1.0,0.392681883222941
104,3975,pages2k_317,ch2k_NA09MAL01_84,0.9999999999999999,0.0
104,4549,pages2k_317,iso2k_1754,0.9999999999999999,0.0
106,1518,pages2k_323,FE23_northamerica_canada_cana210,0.9489902863469498,1.8532231170308289
123,4063,pages2k_385,ch2k_FE09OGA01_304,1.0,0.0
123,4596,pages2k_385,iso2k_1922,1.0,0.0
124,4064,pages2k_387,ch2k_FE09OGA01_306,1.0,0.0
129,4098,pages2k_395,ch2k_CA07FLI01_400,0.9999999999999998,0.0
129,4406,pages2k_395,iso2k_1057,0.9999999999999998,0.0
130,4099,pages2k_397,ch2k_CA07FLI01_402,1.0,0.0
135,4107,pages2k_409,ch2k_QU96ESV01_422,1.0,1.0734720312673933
135,4213,pages2k_409,iso2k_218,1.0,1.0734720312673933
137,139,pages2k_414,pages2k_418,1.0,0.0
138,140,pages2k_417,pages2k_421,1.0,0.0
146,152,pages2k_427,pages2k_433,0.9830221452780444,0.0
154,287,pages2k_435,pages2k_842,0.9855993305813949,0.0
157,158,pages2k_444,pages2k_445,0.9999996722608564,0.0
157,159,pages2k_444,pages2k_446,0.9999998768494976,0.0
158,159,pages2k_445,pages2k_446,0.9999997978711366,0.0
164,4035,pages2k_462,ch2k_OS14UCP01_236,0.9999999861930808,0.0
164,4249,pages2k_462,iso2k_350,0.9999999861930808,0.0
167,1145,pages2k_468,pages2k_3550,0.987098513022764,0.0
167,2503,pages2k_468,FE23_asia_russ137w,0.9989192723158098,0.37072945852236205
169,170,pages2k_472,pages2k_474,0.9990780776141117,0.0
169,172,pages2k_472,pages2k_477,0.9991742362392582,0.0
170,172,pages2k_474,pages2k_477,0.9999463761497801,0.0
173,4571,pages2k_478,iso2k_1846,1.0,0.0
176,2984,pages2k_486,FE23_northamerica_usa_ca609,0.9741227085165554,1.8532231170308289
178,3950,pages2k_495,ch2k_LI06RAR01_12,0.9999999999999999,0.0
178,4489,pages2k_495,iso2k_1502,0.9999999999999999,0.0
181,4062,pages2k_500,ch2k_AS05GUA01_302,1.0,0.0243685480819044
181,4502,pages2k_500,iso2k_1559,1.0,0.0243685480819044
193,4258,pages2k_541,iso2k_404,1.0,0.5619803469445591
194,330,pages2k_543,pages2k_976,0.9932155933107505,0.0
200,4395,pages2k_565,iso2k_998,0.9999999999999998,0.0
209,3377,pages2k_583,FE23_northamerica_usa_mt116,0.9940277703282503,4.265038441214223
211,4048,pages2k_592,ch2k_LI06RAR02_270,1.0,0.0
211,4488,pages2k_592,iso2k_1500,1.0,0.0
217,4428,pages2k_610,iso2k_1199,1.0,0.0
224,3847,pages2k_626,FE23_northamerica_usa_wa071,0.9790599696794638,3.6691109671311533
243,1385,pages2k_691,FE23_northamerica_canada_cana062,0.935513152519886,3.8470954123399754
253,4256,pages2k_730,iso2k_396,1.0,5.414343588593776
255,3932,pages2k_736,FE23_northamerica_usa_wy024,0.9937765458543829,3.2176480591281234
270,1542,pages2k_800,FE23_northamerica_canada_cana234,0.9890384832658766,4.413706727317208
274,4278,pages2k_818,iso2k_488,1.0,0.0
279,281,pages2k_827,pages2k_830,1.0,0.0
282,709,pages2k_831,pages2k_2220,0.9910287300605741,0.0
282,2493,pages2k_831,FE23_asia_russ127w,0.9938897185424319,0.23755598128809655
293,3736,pages2k_857,FE23_northamerica_usa_ut511,0.9930030347228277,4.779603504757881
299,4397,pages2k_881,iso2k_1010,0.9999999999999999,7.831443798552019
302,303,pages2k_893,pages2k_895,0.997878731888924,0.0
302,305,pages2k_893,pages2k_900,0.997878731888924,0.0
303,305,pages2k_895,pages2k_900,1.0,0.0
316,4046,pages2k_940,ch2k_DR99ABR01_264,0.9999868748284537,0.0
316,4047,pages2k_940,ch2k_DR99ABR01_266,0.9999868748284537,0.0
316,4188,pages2k_940,iso2k_91,0.9999868748284537,0.0
319,4191,pages2k_945,iso2k_100,0.999999999878647,0.0
323,4321,pages2k_960,iso2k_641,1.0,1.4788881660628725
332,3594,pages2k_982,FE23_northamerica_usa_or042,0.9964512838580512,4.592357698872727
337,4322,pages2k_1004,iso2k_644,1.0,0.0
343,2862,pages2k_1026,FE23_northamerica_usa_az553,0.989435703033374,3.706446234061719
348,4432,pages2k_1048,iso2k_1212,0.9999999999444483,0.08120329462182123
357,3374,pages2k_1089,FE23_northamerica_usa_mt112,0.9906780912896159,1.3032489760048571
357,3375,pages2k_1089,FE23_northamerica_usa_mt113,0.8759857906162318,1.3032489760048571
364,4407,pages2k_1108,iso2k_1060,1.0,0.0
367,1478,pages2k_1116,FE23_northamerica_canada_cana170w,0.9012973226223439,2.963034008750589
375,3974,pages2k_1147,ch2k_DA06MAF01_78,1.0,0.0
375,3980,pages2k_1147,ch2k_DA06MAF02_104,1.0,0.0
375,4546,pages2k_1147,iso2k_1748,1.0,0.0
378,379,pages2k_1153,pages2k_1156,0.9967946398784733,0.0
378,381,pages2k_1153,pages2k_1160,0.9969118556506823,0.0
379,381,pages2k_1156,pages2k_1160,1.0,0.0
398,3102,pages2k_1209,FE23_northamerica_usa_co553,0.9848164514971338,4.686190390758007
409,1419,pages2k_1252,FE23_northamerica_canada_cana096,0.9976191515076486,5.559669351093426
414,4509,pages2k_1274,iso2k_1577,1.0,0.0
420,4351,pages2k_1293,iso2k_821,0.9999999993592802,0.0
428,3938,pages2k_1325,FE23_northamerica_usa_wy030,0.9841375865267528,4.634071826744492
436,3953,pages2k_1360,ch2k_UR00MAI01_22,1.0,0.0
