index 1,index 2,ID 1,ID 2,correlation,distance (km)
1,2,ch2k_ZI15MER01_2,ch2k_ZI15MER01_4,1.0,0.0
46,49,ch2k_XI17HAI01_128,ch2k_XI17HAI01_136,1.0,0.0
47,48,ch2k_XI17HAI01_130,ch2k_XI17HAI01_134,0.9999999999999999,0.0
50,54,ch2k_DE14DTO03_140,ch2k_DE14DTO01_148,0.9484736035921149,0.0
69,70,ch2k_EV18ROC01_184,ch2k_EV18ROC01_186,1.0,0.0
75,76,ch2k_ZI15IMP02_200,ch2k_ZI15IMP02_202,1.0,0.0
101,102,ch2k_DR99ABR01_264,ch2k_DR99ABR01_266,1.0,0.0
107,108,ch2k_ZI15TAN01_278,ch2k_ZI15TAN01_280,1.0,0.0
127,128,ch2k_ZI15IMP01_328,ch2k_ZI15IMP01_330,1.0,0.0
131,132,ch2k_RO19YUC01_338,ch2k_RO19YUC01_340,1.0,0.0
163,166,ch2k_DE13HAI01_424,ch2k_DE13HAI01_432,0.9999999999999998,0.0
164,165,ch2k_DE13HAI01_426,ch2k_DE13HAI01_430,1.0,0.0
168,169,ch2k_ZI15CLE01_438,ch2k_ZI15CLE01_440,0.9999999999999999,0.0
176,206,ch2k_FL18DTO01_460,ch2k_FL18DTO02_554,0.8307245439795362,0.34539124455148484
179,180,ch2k_DU94URV01_468,ch2k_DU94URV01_470,1.0,0.0
183,184,ch2k_ZI14TUR01_480,ch2k_ZI14TUR01_482,1.0,0.0
186,187,ch2k_ZI15BUN01_488,ch2k_ZI15BUN01_490,1.0,0.0
192,193,ch2k_WU13TON01_504,ch2k_WU13TON01_506,1.0,0.0
194,197,ch2k_KI14PAR01_510,ch2k_KI14PAR01_518,0.9999999999999999,0.0
195,196,ch2k_KI14PAR01_512,ch2k_KI14PAR01_516,1.0,0.0
198,199,ch2k_ZI14IFR02_522,ch2k_ZI14IFR02_524,1.0,0.0
