datasetId,archiveType,dataSetName,geo_meanElev,geo_meanLat,geo_meanLon,geo_siteName,interpretation_direction,interpretation_seasonality,interpretation_variable,interpretation_variableDetail,originalDataURL,originalDatabase,paleoData_notes,paleoData_proxy,paleoData_sensorSpecies,paleoData_units,paleoData_variableName,yearUnits
FE23_africa_keny001,Wood,africa_keny001,2010.0,-0.5833333333333334,37.05,RagatiForestStationNyeriDistrict,N/A,N/A,N/A,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/keny001-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Stahle,ring width,VIKE,standardized_anomalies,ring width,CE
FE23_africa_keny002,Wood,africa_keny002,2010.0,-0.5833333333333334,37.05,RagatiForestStationNyeriDistrict,N/A,N/A,N/A,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/keny002-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Stahle,ring width,PRMA,standardized_anomalies,ring width,CE
FE23_africa_morc001,Wood,africa_morc001,2200.0,32.416666666666664,-5.25,Tounfite,N/A,N/A,moisture,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/morc001-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Stockton,ring width,CDAT,standardized_anomalies,ring width,CE
FE23_africa_morc002,Wood,africa_morc002,1700.0,35.03333333333333,-4.833333333333333,Afechtal,N/A,N/A,N/A,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/morc002-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Stockton,ring width,CDAT,standardized_anomalies,ring width,CE
FE23_africa_morc003,Wood,africa_morc003,2200.0,32.38333333333333,-5.6,Ta'Adlount,N/A,N/A,N/A,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/morc003-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Stockton,ring width,CDAT,standardized_anomalies,ring width,CE
FE23_africa_morc011,Wood,africa_morc011,1900.0,33.45,-5.033333333333333,Ifrane,N/A,N/A,moisture,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/morc011-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Chbouki,ring width,CDAT,standardized_anomalies,ring width,CE
FE23_africa_morc012,Wood,africa_morc012,1700.0,35.11666666666667,-5.1,Tissouka,N/A,N/A,N/A,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/morc012-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Chbouki,ring width,CDAT,standardized_anomalies,ring width,CE
FE23_africa_morc013,Wood,africa_morc013,1900.0,34.083333333333336,-4.183333333333334,Tazzeka,N/A,N/A,N/A,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/morc013-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Chbouki,ring width,CDAT,standardized_anomalies,ring width,CE
FE23_africa_morc014,Wood,africa_morc014,2200.0,33.016666666666666,-5.066666666666666,ColduZad,N/A,N/A,N/A,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/morc014-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Stockton,ring width,CDAT,standardized_anomalies,ring width,CE
FE23_africa_safr001,Wood,africa_safr001,1330.0,-32.4,19.216666666666665,DieBos,N/A,N/A,N/A,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/safr001-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Lamarche,ring width,WICE,standardized_anomalies,ring width,CE
FE23_africa_zimb001,Wood,africa_zimb001,1085.0,-18.666666666666668,26.683333333333334,BaobabHoles,N/A,N/A,N/A,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/zimb001-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Stahle,ring width,CABU,standardized_anomalies,ring width,CE
FE23_africa_zimb002,Wood,africa_zimb002,1120.0,-18.333333333333332,27.666666666666668,MzolaForest,N/A,N/A,N/A,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/zimb002-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Mushove,ring width,PTAN,standardized_anomalies,ring width,CE
FE23_africa_zimb003,Wood,africa_zimb003,1100.0,-18.55,26.933333333333334,SikumiForest,N/A,N/A,N/A,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/zimb003-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Stahle,ring width,PTAN,standardized_anomalies,ring width,CE
FE23_southamerica_arge,Wood,southamerica_arge,1804.0,-43.18333333333333,-71.7,RioFutaleufu,N/A,N/A,N/A,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Lamarche,ring width,AUCH,standardized_anomalies,ring width,CE
FE23_southamerica_arge001,Wood,southamerica_arge001,1545.0,-37.86666666666667,-71.01666666666667,Caviahue,N/A,N/A,N/A,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge001-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Holmes,ring width,ARAR,standardized_anomalies,ring width,CE
FE23_southamerica_arge002,Wood,southamerica_arge002,1720.0,-37.8,-71.06666666666666,Copahue,N/A,N/A,temperature,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge002-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Holmes,ring width,ARAR,standardized_anomalies,ring width,CE
FE23_southamerica_arge004,Wood,southamerica_arge004,1380.0,-39.4,-70.8,Rahue,N/A,N/A,N/A,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge004-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Lamarche,ring width,ARAR,standardized_anomalies,ring width,CE
FE23_southamerica_arge005,Wood,southamerica_arge005,1400.0,-38.63333333333333,-70.75,PimoHachado,N/A,N/A,temperature+moisture,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge005-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Lamarche,ring width,ARAR,standardized_anomalies,ring width,CE
FE23_southamerica_arge006,Wood,southamerica_arge006,1650.0,-38.1,-70.85,ChenquePehuen,N/A,N/A,moisture,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge006-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Lamarche,ring width,ARAR,standardized_anomalies,ring width,CE
FE23_southamerica_arge007,Wood,southamerica_arge007,1020.0,-41.083333333333336,-71.15,CerroLosLeones,N/A,N/A,N/A,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge007-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Holmes,ring width,AUCH,standardized_anomalies,ring width,CE
FE23_southamerica_arge008,Wood,southamerica_arge008,880.0,-40.71666666666667,-71.13333333333334,CuyinManzano,N/A,N/A,N/A,N/A,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/arge008-noaa.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Holmes,ring width,AUCH,standardized_anomalies,ring width,CE
