datasetId,archiveType,dataSetName,duplicateDetails,geo_meanElev,geo_meanLat,geo_meanLon,geo_siteName,interpretation_direction,interpretation_seasonality,interpretation_variable,interpretation_variableDetail,originalDataURL,originalDatabase,paleoData_notes,paleoData_proxy,paleoData_sensorSpecies,paleoData_units,paleoData_variableName,yearUnits
ch2k_CH03BUN01_0,Coral,CH03BUN01,N/A,-3.0,1.5,124.83000183105469,"Bunaken Island, Indonesia",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://www.ncdc.noaa.gov/paleo/study/1903,CoralHydro2k v1.0.1,This paper did not calibrate the d18O proxy or reconstruct temperature. It instead analyzed variability through time by directly using the d18O proxy.,d18O,Porites sp.,permil,d18O,CE
ch2k_ZI15MER01_2,Coral,ZI15MER01,"{0: {'duplicate ID': 'ch2k_ZI15MER01_4', 'duplicate database': 'CoralHydro2k v1.0.1', 'duplicate decision': 'REMOVE', 'decision type': 'AUTO: IDENTICAL', 'operator': 'N/A', 'note': 'N/A'}}",-17.0,-17.100000381469727,119.5999984741211,"Rowley Shoals, Australia",N/A,N/A,temperature,temperature - manually assigned by DoD2k authors for paleoData_proxy = Sr/Ca,https://www.ncdc.noaa.gov/paleo/study/19239,CoralHydro2k v1.0.1,"Sr/Ca-SST recconstructed with composite plus scale method to ERSSTv3b, no regression applied",Sr/Ca,Porites sp.,mmol/mol,SrCa,CE
ch2k_CO03PAL03_6,Coral,CO03PAL03,N/A,nan,5.869999885559082,-162.1300048828125,"Palmyra Island, United States Minor Outlying Islands",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://www.ncdc.noaa.gov/paleo/study/1875,CoralHydro2k v1.0.1,nan,d18O,Porites lutea,permil,d18O,CE
ch2k_CO03PAL02_8,Coral,CO03PAL02,N/A,nan,5.869999885559082,-162.1300048828125,"Palmyra Island, United States Minor Outlying Islands",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://www.ncdc.noaa.gov/paleo/study/1875,CoralHydro2k v1.0.1,nan,d18O,Porites lutea,permil,d18O,CE
ch2k_LI06RAR01_12,Coral,LI06RAR01,N/A,-18.0,-21.23780059814453,-159.8278045654297,"Rarotonga, Cook Islands",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://www.ncdc.noaa.gov/paleo/study/6089,CoralHydro2k v1.0.1,Individual coral records that are part of the Rarotonga composite,d18O,Porites lutea,permil,d18O,CE
ch2k_CO03PAL07_14,Coral,CO03PAL07,N/A,nan,5.869999885559082,-162.1300048828125,"Palmyra Island, United States Minor Outlying Islands",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://www.ncdc.noaa.gov/paleo/study/1875,CoralHydro2k v1.0.1,nan,d18O,Porites lutea,permil,d18O,CE
ch2k_FL18DTO03_16,Coral,FL18DTO03,N/A,-3.9000000953674316,24.702999114990234,-82.8479995727539,"Dry Tortugas, Florida, USA",N/A,N/A,temperature,temperature - manually assigned by DoD2k authors for paleoData_proxy = Sr/Ca,https://www.ncdc.noaa.gov/paleo/study/34553,CoralHydro2k v1.0.1,nan,Sr/Ca,Orbicella faveolata,mmol/mol,SrCa,CE
ch2k_UR00MAI01_22,Coral,UR00MAI01,N/A,-6.0,1.0,173.0,"Maiana, Republic of Kiribati",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://www.ncdc.noaa.gov/paleo/study/1859,CoralHydro2k v1.0.1,nan,d18O,Porites sp.,permil,d18O,CE
ch2k_TU95MAD01_24,Coral,TU95MAD01,N/A,-0.20000000298023224,-5.21999979019165,145.82000732421875,"Madang Lagoon, Papua New Guinea",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://www.ncdc.noaa.gov/paleo/study/1844,CoralHydro2k v1.0.1,monthly correlations with SST not reported,d18O,Porites sp.,permil,d18O,CE
ch2k_ZI04IFR01_26,Coral,ZI04IFR01,N/A,-1.100000023841858,-23.149999618530273,43.58000183105469,"Ifaty Reef, Madagascar",N/A,N/A,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O,https://www.ncdc.noaa.gov/paleo/study/1897,CoralHydro2k v1.0.1,Other calibration slopes are available in Zinke et al. 2004; 1920-1995 samples monthly; 1919-1658 sampled bimonthly,d18O,Porites lobata,permil,d18O,CE
