archiveType,climateInterpretation_direction,climateInterpretation_seasonality,climateInterpretation_variable,climateInterpretation_variableDetail,dataSetName,datasetId,geo_meanElev,geo_meanLat,geo_meanLon,geo_siteName,originalDataURL,originalDatabase,paleoData_notes,paleoData_proxy,paleoData_sensorSpecies,paleoData_units,yearUnits
GlacierIce,positive,Annual,temperature,air@condensationLevel,Ant-WDC05A.Steig.2013,ALUv7ETq7oKrN8g3SjoV,1806.0,-79.46,-112.09,WDC05A,http://dx.doi.org/10.7265/N5QJ7F8B,PAGES 2k v2.2.0,; climateInterpretation_seasonality changed - was originally Mean annual values; archiveType changed - was originally ice core,d18O,N/A,permil,yr AD
GlacierIce,N/A,N/A,N/A,N/A,Ant-WDC05A.Steig.2013,ALUv7ETq7oKrN8g3SjoV,1806.0,-79.46,-112.09,WDC05A,http://dx.doi.org/10.7265/N5QJ7F8B,PAGES 2k v2.2.0,N/A,year,N/A,yr AD,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-MtLemon.Briffa.2002,WE1aFocHhdMAgjAD7nKI,2700.0,32.5,-110.8,Mt. Lemon,https://www.ncdc.noaa.gov/paleo/study/2838,PAGES 2k v2.2.0,N/A,sampleCount,PSME,count,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-MtLemon.Briffa.2002,WE1aFocHhdMAgjAD7nKI,2700.0,32.5,-110.8,Mt. Lemon,https://www.ncdc.noaa.gov/paleo/study/2838,PAGES 2k v2.2.0,N/A,year,N/A,yr AD,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-MtLemon.Briffa.2002,WE1aFocHhdMAgjAD7nKI,2700.0,32.5,-110.8,Mt. Lemon,https://www.ncdc.noaa.gov/paleo/study/2838,PAGES 2k v2.2.0,N/A,segmentLength,PSME,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-MtLemon.Briffa.2002,WE1aFocHhdMAgjAD7nKI,2700.0,32.5,-110.8,Mt. Lemon,https://www.ncdc.noaa.gov/paleo/study/2838,PAGES 2k v2.2.0,N/A,ringWidth,PSME,cm,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-MtLemon.Briffa.2002,WE1aFocHhdMAgjAD7nKI,2700.0,32.5,-110.8,Mt. Lemon,https://www.ncdc.noaa.gov/paleo/study/2838,PAGES 2k v2.2.0,N/A,ringWidth,PSME,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-MtLemon.Briffa.2002,WE1aFocHhdMAgjAD7nKI,2700.0,32.5,-110.8,Mt. Lemon,https://www.ncdc.noaa.gov/paleo/study/2838,PAGES 2k v2.2.0,N/A,residualChronology,PSME,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-MtLemon.Briffa.2002,WE1aFocHhdMAgjAD7nKI,2700.0,32.5,-110.8,Mt. Lemon,https://www.ncdc.noaa.gov/paleo/study/2838,PAGES 2k v2.2.0,N/A,ARSTAN,PSME,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-MtLemon.Briffa.2002,WE1aFocHhdMAgjAD7nKI,2700.0,32.5,-110.8,Mt. Lemon,https://www.ncdc.noaa.gov/paleo/study/2838,PAGES 2k v2.2.0,N/A,correlationCoefficient,PSME,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-MtLemon.Briffa.2002,WE1aFocHhdMAgjAD7nKI,2700.0,32.5,-110.8,Mt. Lemon,https://www.ncdc.noaa.gov/paleo/study/2838,PAGES 2k v2.2.0,N/A,RBAR,PSME,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-MtLemon.Briffa.2002,WE1aFocHhdMAgjAD7nKI,2700.0,32.5,-110.8,Mt. Lemon,https://www.ncdc.noaa.gov/paleo/study/2838,PAGES 2k v2.2.0,N/A,uncertainty1s,PSME,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-MtLemon.Briffa.2002,WE1aFocHhdMAgjAD7nKI,2700.0,32.5,-110.8,Mt. Lemon,https://www.ncdc.noaa.gov/paleo/study/2838,PAGES 2k v2.2.0,N/A,uncertainty1s,PSME,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-MtLemon.Briffa.2002,WE1aFocHhdMAgjAD7nKI,2700.0,32.5,-110.8,Mt. Lemon,https://www.ncdc.noaa.gov/paleo/study/2838,PAGES 2k v2.2.0,N/A,EPS,PSME,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-MtLemon.Briffa.2002,WE1aFocHhdMAgjAD7nKI,2700.0,32.5,-110.8,Mt. Lemon,https://www.ncdc.noaa.gov/paleo/study/2838,PAGES 2k v2.2.0,N/A,core,PSME,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-MtLemon.Briffa.2002,WE1aFocHhdMAgjAD7nKI,2700.0,32.5,-110.8,Mt. Lemon,https://www.ncdc.noaa.gov/paleo/study/2838,PAGES 2k v2.2.0,N/A,sampleCount,PSME,count,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-MtLemon.Briffa.2002,WE1aFocHhdMAgjAD7nKI,2700.0,32.5,-110.8,Mt. Lemon,https://www.ncdc.noaa.gov/paleo/study/2838,PAGES 2k v2.2.0,N/A,year,N/A,yr AD,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-MtLemon.Briffa.2002,WE1aFocHhdMAgjAD7nKI,2700.0,32.5,-110.8,Mt. Lemon,https://www.ncdc.noaa.gov/paleo/study/2838,PAGES 2k v2.2.0,N/A,segmentLength,PSME,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-MtLemon.Briffa.2002,WE1aFocHhdMAgjAD7nKI,2700.0,32.5,-110.8,Mt. Lemon,https://www.ncdc.noaa.gov/paleo/study/2838,PAGES 2k v2.2.0,N/A,density,PSME,g/cm3,yr AD
Wood,positive,Summer,temperature,air@surface,NAm-MtLemon.Briffa.2002,WE1aFocHhdMAgjAD7nKI,2700.0,32.5,-110.8,Mt. Lemon,https://www.ncdc.noaa.gov/paleo/study/2838,PAGES 2k v2.2.0,N/A,MXD,PSME,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-MtLemon.Briffa.2002,WE1aFocHhdMAgjAD7nKI,2700.0,32.5,-110.8,Mt. Lemon,https://www.ncdc.noaa.gov/paleo/study/2838,PAGES 2k v2.2.0,N/A,residualChronology,PSME,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-MtLemon.Briffa.2002,WE1aFocHhdMAgjAD7nKI,2700.0,32.5,-110.8,Mt. Lemon,https://www.ncdc.noaa.gov/paleo/study/2838,PAGES 2k v2.2.0,N/A,ARSTAN,PSME,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-MtLemon.Briffa.2002,WE1aFocHhdMAgjAD7nKI,2700.0,32.5,-110.8,Mt. Lemon,https://www.ncdc.noaa.gov/paleo/study/2838,PAGES 2k v2.2.0,N/A,correlationCoefficient,PSME,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-MtLemon.Briffa.2002,WE1aFocHhdMAgjAD7nKI,2700.0,32.5,-110.8,Mt. Lemon,https://www.ncdc.noaa.gov/paleo/study/2838,PAGES 2k v2.2.0,N/A,RBAR,PSME,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-MtLemon.Briffa.2002,WE1aFocHhdMAgjAD7nKI,2700.0,32.5,-110.8,Mt. Lemon,https://www.ncdc.noaa.gov/paleo/study/2838,PAGES 2k v2.2.0,N/A,uncertainty1s,PSME,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-MtLemon.Briffa.2002,WE1aFocHhdMAgjAD7nKI,2700.0,32.5,-110.8,Mt. Lemon,https://www.ncdc.noaa.gov/paleo/study/2838,PAGES 2k v2.2.0,N/A,uncertainty1s,PSME,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-MtLemon.Briffa.2002,WE1aFocHhdMAgjAD7nKI,2700.0,32.5,-110.8,Mt. Lemon,https://www.ncdc.noaa.gov/paleo/study/2838,PAGES 2k v2.2.0,N/A,EPS,PSME,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-MtLemon.Briffa.2002,WE1aFocHhdMAgjAD7nKI,2700.0,32.5,-110.8,Mt. Lemon,https://www.ncdc.noaa.gov/paleo/study/2838,PAGES 2k v2.2.0,N/A,core,PSME,N/A,yr AD
Wood,positive,Jun-Aug,temperature,air@surface,Arc-Arjeplog.Bjorklund.2014,uBowfOYHKc6TwwmToYRD,800.0,66.3,18.2,Arjeplog,this study,PAGES 2k v2.2.0,; climateInterpretation_seasonality changed - was originally 7/8/2009; climateInterpretation_seasonality changed - was originally 7/8/2009,density,N/A,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,Arc-Arjeplog.Bjorklund.2014,uBowfOYHKc6TwwmToYRD,800.0,66.3,18.2,Arjeplog,this study,PAGES 2k v2.2.0,N/A,year,N/A,yr AD,yr AD
Wood,N/A,Jul-Sep,temperature,air-surface,Arc-Arjeplog.Bjorklund.2014,uBowfOYHKc6TwwmToYRD,800.0,66.3,18.2,Arjeplog,this study,PAGES 2k v2.2.0,; climateInterpretation_seasonality changed - was originally 7/8/2009; climateInterpretation_seasonality changed - was originally 7/8/2009; climateInterpretation_seasonality changed - was originally 7 8 2009,reflectance,N/A,N/A,yr AD
Wood,positive,Annual,temperature,air@surface,Asi-CHIN019.Li.2010,4vwbAqnBgjvHsbbp2loD,2150.0,29.15,99.93,CHIN019,https://www.ncdc.noaa.gov/paleo/study/12600,PAGES 2k v2.2.0,N/A,ringWidth,N/A,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,Asi-CHIN019.Li.2010,4vwbAqnBgjvHsbbp2loD,2150.0,29.15,99.93,CHIN019,https://www.ncdc.noaa.gov/paleo/study/12600,PAGES 2k v2.2.0,N/A,year,N/A,yr AD,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-Landslide.Luckman.2006,3aTNuveIcZsmeuk5wdut,800.0,60.2,-138.5,Landslide,https://www.ncdc.noaa.gov/paleo/study/13785,PAGES 2k v2.2.0,N/A,sampleCount,PCGL,count,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-Landslide.Luckman.2006,3aTNuveIcZsmeuk5wdut,800.0,60.2,-138.5,Landslide,https://www.ncdc.noaa.gov/paleo/study/13785,PAGES 2k v2.2.0,N/A,year,N/A,yr AD,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-Landslide.Luckman.2006,3aTNuveIcZsmeuk5wdut,800.0,60.2,-138.5,Landslide,https://www.ncdc.noaa.gov/paleo/study/13785,PAGES 2k v2.2.0,N/A,segmentLength,PCGL,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-Landslide.Luckman.2006,3aTNuveIcZsmeuk5wdut,800.0,60.2,-138.5,Landslide,https://www.ncdc.noaa.gov/paleo/study/13785,PAGES 2k v2.2.0,N/A,ringWidth,PCGL,cm,yr AD
Wood,positive,Summer,temperature,air@surface,NAm-Landslide.Luckman.2006,3aTNuveIcZsmeuk5wdut,800.0,60.2,-138.5,Landslide,https://www.ncdc.noaa.gov/paleo/study/13785,PAGES 2k v2.2.0,N/A,ringWidth,PCGL,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-Landslide.Luckman.2006,3aTNuveIcZsmeuk5wdut,800.0,60.2,-138.5,Landslide,https://www.ncdc.noaa.gov/paleo/study/13785,PAGES 2k v2.2.0,N/A,residualChronology,PCGL,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-Landslide.Luckman.2006,3aTNuveIcZsmeuk5wdut,800.0,60.2,-138.5,Landslide,https://www.ncdc.noaa.gov/paleo/study/13785,PAGES 2k v2.2.0,N/A,ARSTAN,PCGL,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-Landslide.Luckman.2006,3aTNuveIcZsmeuk5wdut,800.0,60.2,-138.5,Landslide,https://www.ncdc.noaa.gov/paleo/study/13785,PAGES 2k v2.2.0,N/A,correlationCoefficient,PCGL,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-Landslide.Luckman.2006,3aTNuveIcZsmeuk5wdut,800.0,60.2,-138.5,Landslide,https://www.ncdc.noaa.gov/paleo/study/13785,PAGES 2k v2.2.0,N/A,RBAR,PCGL,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-Landslide.Luckman.2006,3aTNuveIcZsmeuk5wdut,800.0,60.2,-138.5,Landslide,https://www.ncdc.noaa.gov/paleo/study/13785,PAGES 2k v2.2.0,N/A,uncertainty1s,PCGL,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-Landslide.Luckman.2006,3aTNuveIcZsmeuk5wdut,800.0,60.2,-138.5,Landslide,https://www.ncdc.noaa.gov/paleo/study/13785,PAGES 2k v2.2.0,N/A,uncertainty1s,PCGL,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-Landslide.Luckman.2006,3aTNuveIcZsmeuk5wdut,800.0,60.2,-138.5,Landslide,https://www.ncdc.noaa.gov/paleo/study/13785,PAGES 2k v2.2.0,N/A,EPS,PCGL,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-Landslide.Luckman.2006,3aTNuveIcZsmeuk5wdut,800.0,60.2,-138.5,Landslide,https://www.ncdc.noaa.gov/paleo/study/13785,PAGES 2k v2.2.0,N/A,core,PCGL,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-SmithersSkiArea.Schweingruber.1996,o54q2vzqLKudYQfVE81a,1200.0,54.9,-127.3,Smithers Ski Area,https://www.ncdc.noaa.gov/paleo/study/4658,PAGES 2k v2.2.0,N/A,sampleCount,PCGL,count,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-SmithersSkiArea.Schweingruber.1996,o54q2vzqLKudYQfVE81a,1200.0,54.9,-127.3,Smithers Ski Area,https://www.ncdc.noaa.gov/paleo/study/4658,PAGES 2k v2.2.0,N/A,year,N/A,yr AD,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-SmithersSkiArea.Schweingruber.1996,o54q2vzqLKudYQfVE81a,1200.0,54.9,-127.3,Smithers Ski Area,https://www.ncdc.noaa.gov/paleo/study/4658,PAGES 2k v2.2.0,N/A,segmentLength,PCGL,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-SmithersSkiArea.Schweingruber.1996,o54q2vzqLKudYQfVE81a,1200.0,54.9,-127.3,Smithers Ski Area,https://www.ncdc.noaa.gov/paleo/study/4658,PAGES 2k v2.2.0,N/A,ringWidth,PCGL,cm,yr AD
Wood,positive,Summer,temperature,air@surface,NAm-SmithersSkiArea.Schweingruber.1996,o54q2vzqLKudYQfVE81a,1200.0,54.9,-127.3,Smithers Ski Area,https://www.ncdc.noaa.gov/paleo/study/4658,PAGES 2k v2.2.0,N/A,ringWidth,PCGL,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-SmithersSkiArea.Schweingruber.1996,o54q2vzqLKudYQfVE81a,1200.0,54.9,-127.3,Smithers Ski Area,https://www.ncdc.noaa.gov/paleo/study/4658,PAGES 2k v2.2.0,N/A,residualChronology,PCGL,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-SmithersSkiArea.Schweingruber.1996,o54q2vzqLKudYQfVE81a,1200.0,54.9,-127.3,Smithers Ski Area,https://www.ncdc.noaa.gov/paleo/study/4658,PAGES 2k v2.2.0,N/A,ARSTAN,PCGL,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-SmithersSkiArea.Schweingruber.1996,o54q2vzqLKudYQfVE81a,1200.0,54.9,-127.3,Smithers Ski Area,https://www.ncdc.noaa.gov/paleo/study/4658,PAGES 2k v2.2.0,N/A,correlationCoefficient,PCGL,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-SmithersSkiArea.Schweingruber.1996,o54q2vzqLKudYQfVE81a,1200.0,54.9,-127.3,Smithers Ski Area,https://www.ncdc.noaa.gov/paleo/study/4658,PAGES 2k v2.2.0,N/A,RBAR,PCGL,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-SmithersSkiArea.Schweingruber.1996,o54q2vzqLKudYQfVE81a,1200.0,54.9,-127.3,Smithers Ski Area,https://www.ncdc.noaa.gov/paleo/study/4658,PAGES 2k v2.2.0,N/A,uncertainty1s,PCGL,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-SmithersSkiArea.Schweingruber.1996,o54q2vzqLKudYQfVE81a,1200.0,54.9,-127.3,Smithers Ski Area,https://www.ncdc.noaa.gov/paleo/study/4658,PAGES 2k v2.2.0,N/A,uncertainty1s,PCGL,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-SmithersSkiArea.Schweingruber.1996,o54q2vzqLKudYQfVE81a,1200.0,54.9,-127.3,Smithers Ski Area,https://www.ncdc.noaa.gov/paleo/study/4658,PAGES 2k v2.2.0,N/A,EPS,PCGL,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-SmithersSkiArea.Schweingruber.1996,o54q2vzqLKudYQfVE81a,1200.0,54.9,-127.3,Smithers Ski Area,https://www.ncdc.noaa.gov/paleo/study/4658,PAGES 2k v2.2.0,N/A,core,PCGL,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-SmithersSkiArea.Schweingruber.1996,o54q2vzqLKudYQfVE81a,1200.0,54.9,-127.3,Smithers Ski Area,https://www.ncdc.noaa.gov/paleo/study/4658,PAGES 2k v2.2.0,N/A,sampleCount,PCGL,count,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-SmithersSkiArea.Schweingruber.1996,o54q2vzqLKudYQfVE81a,1200.0,54.9,-127.3,Smithers Ski Area,https://www.ncdc.noaa.gov/paleo/study/4658,PAGES 2k v2.2.0,N/A,year,N/A,yr AD,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-SmithersSkiArea.Schweingruber.1996,o54q2vzqLKudYQfVE81a,1200.0,54.9,-127.3,Smithers Ski Area,https://www.ncdc.noaa.gov/paleo/study/4658,PAGES 2k v2.2.0,N/A,segmentLength,PCGL,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-SmithersSkiArea.Schweingruber.1996,o54q2vzqLKudYQfVE81a,1200.0,54.9,-127.3,Smithers Ski Area,https://www.ncdc.noaa.gov/paleo/study/4658,PAGES 2k v2.2.0,N/A,density,PCGL,g/cm3,yr AD
Wood,positive,Summer,temperature,air@surface,NAm-SmithersSkiArea.Schweingruber.1996,o54q2vzqLKudYQfVE81a,1200.0,54.9,-127.3,Smithers Ski Area,https://www.ncdc.noaa.gov/paleo/study/4658,PAGES 2k v2.2.0,N/A,MXD,PCGL,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-SmithersSkiArea.Schweingruber.1996,o54q2vzqLKudYQfVE81a,1200.0,54.9,-127.3,Smithers Ski Area,https://www.ncdc.noaa.gov/paleo/study/4658,PAGES 2k v2.2.0,N/A,residualChronology,PCGL,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-SmithersSkiArea.Schweingruber.1996,o54q2vzqLKudYQfVE81a,1200.0,54.9,-127.3,Smithers Ski Area,https://www.ncdc.noaa.gov/paleo/study/4658,PAGES 2k v2.2.0,N/A,ARSTAN,PCGL,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-SmithersSkiArea.Schweingruber.1996,o54q2vzqLKudYQfVE81a,1200.0,54.9,-127.3,Smithers Ski Area,https://www.ncdc.noaa.gov/paleo/study/4658,PAGES 2k v2.2.0,N/A,correlationCoefficient,PCGL,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-SmithersSkiArea.Schweingruber.1996,o54q2vzqLKudYQfVE81a,1200.0,54.9,-127.3,Smithers Ski Area,https://www.ncdc.noaa.gov/paleo/study/4658,PAGES 2k v2.2.0,N/A,RBAR,PCGL,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-SmithersSkiArea.Schweingruber.1996,o54q2vzqLKudYQfVE81a,1200.0,54.9,-127.3,Smithers Ski Area,https://www.ncdc.noaa.gov/paleo/study/4658,PAGES 2k v2.2.0,N/A,uncertainty1s,PCGL,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-SmithersSkiArea.Schweingruber.1996,o54q2vzqLKudYQfVE81a,1200.0,54.9,-127.3,Smithers Ski Area,https://www.ncdc.noaa.gov/paleo/study/4658,PAGES 2k v2.2.0,N/A,uncertainty1s,PCGL,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-SmithersSkiArea.Schweingruber.1996,o54q2vzqLKudYQfVE81a,1200.0,54.9,-127.3,Smithers Ski Area,https://www.ncdc.noaa.gov/paleo/study/4658,PAGES 2k v2.2.0,N/A,EPS,PCGL,N/A,yr AD
Wood,N/A,N/A,N/A,N/A,NAm-SmithersSkiArea.Schweingruber.1996,o54q2vzqLKudYQfVE81a,1200.0,54.9,-127.3,Smithers Ski Area,https://www.ncdc.noaa.gov/paleo/study/4658,PAGES 2k v2.2.0,N/A,core,PCGL,N/A,yr AD
