index 1,index 2,ID 1,ID 2,correlation,distance (km)
20,21,pages2k_62,pages2k_63,0.9442037258051723,0.0
21,22,pages2k_63,pages2k_64,0.984177187162117,0.0
21,23,pages2k_63,pages2k_65,0.9971972122358714,0.0
22,23,pages2k_64,pages2k_65,0.9879742266291696,0.0
31,32,pages2k_85,pages2k_88,0.999999996118143,0.0
34,36,pages2k_94,pages2k_96,0.9808677455055537,0.0
44,45,pages2k_121,pages2k_122,0.9815589923346684,0.0
54,55,pages2k_145,pages2k_146,0.9999994167155513,0.0
54,56,pages2k_145,pages2k_147,0.9999994167155513,0.0
55,56,pages2k_146,pages2k_147,1.0,0.0
58,60,pages2k_158,pages2k_160,0.9854352675266143,0.0
67,68,pages2k_185,pages2k_186,0.991274236818196,0.0
73,74,pages2k_205,pages2k_207,1.0,0.0
82,84,pages2k_225,pages2k_227,0.9865471474935132,0.0
113,114,pages2k_305,pages2k_307,0.9999985348963519,0.0
113,115,pages2k_305,pages2k_309,0.9999999999999999,0.0
113,116,pages2k_305,pages2k_311,0.9999985348963519,0.0
114,115,pages2k_307,pages2k_309,0.999998534896352,0.0
114,116,pages2k_307,pages2k_311,1.0,0.0
115,116,pages2k_309,pages2k_311,0.9999989719789152,0.0
138,140,pages2k_374,pages2k_376,0.9848277541460998,0.0
156,158,pages2k_414,pages2k_418,1.0,0.0
157,159,pages2k_417,pages2k_421,1.0,0.0
165,171,pages2k_427,pages2k_433,0.9830221452780444,0.0
173,325,pages2k_435,pages2k_842,0.9855993305813949,0.0
174,175,pages2k_437,pages2k_439,0.9999999999999999,0.0
176,177,pages2k_444,pages2k_445,0.9999996722608564,0.0
176,178,pages2k_444,pages2k_446,0.9999998768494976,0.0
177,178,pages2k_445,pages2k_446,0.9999997978711366,0.0
187,1312,pages2k_468,pages2k_3550,0.987098513022764,0.0
189,190,pages2k_472,pages2k_474,0.9990780776141117,0.0
189,191,pages2k_472,pages2k_475,1.0,0.0
189,192,pages2k_472,pages2k_477,0.9991742362392582,0.0
190,191,pages2k_474,pages2k_475,0.9990780776141116,0.0
190,192,pages2k_474,pages2k_477,0.9999463761497801,0.0
191,192,pages2k_475,pages2k_477,0.999156938429766,0.0
209,211,pages2k_519,pages2k_521,0.9938433013535563,0.0
213,215,pages2k_532,pages2k_534,0.9827841783637145,0.0
217,373,pages2k_543,pages2k_976,0.9932155933107505,0.0
233,235,pages2k_583,pages2k_585,0.9846082065214663,0.0
264,265,pages2k_666,pages2k_667,0.9824464786985907,0.0
264,266,pages2k_666,pages2k_668,0.9847381307824543,0.0
265,266,pages2k_667,pages2k_668,0.9966497800449535,0.0
276,277,pages2k_704,pages2k_705,0.999991857176967,0.0
276,278,pages2k_704,pages2k_706,0.999991857176967,0.0
277,278,pages2k_705,pages2k_706,1.0,0.0
316,318,pages2k_825,pages2k_828,1.0,0.0
317,319,pages2k_827,pages2k_830,1.0,0.0
320,815,pages2k_831,pages2k_2220,0.9910287300605741,0.0
336,337,pages2k_871,pages2k_872,0.984363112866277,0.0
342,343,pages2k_893,pages2k_895,0.997878731888924,0.0
342,344,pages2k_893,pages2k_899,1.0,0.0
342,345,pages2k_893,pages2k_900,0.997878731888924,0.0
343,344,pages2k_895,pages2k_899,0.997878731888924,0.0
343,345,pages2k_895,pages2k_900,1.0,0.0
344,345,pages2k_899,pages2k_900,0.997878731888924,0.0
375,377,pages2k_982,pages2k_984,0.9866517781684845,0.0
379,381,pages2k_995,pages2k_997,0.9813953906296802,0.0
394,395,pages2k_1040,pages2k_1041,0.9802525830742078,0.0
404,405,pages2k_1070,pages2k_1077,0.982677988238758,0.0
431,432,pages2k_1153,pages2k_1156,0.9967946398784733,0.0
431,433,pages2k_1153,pages2k_1157,1.0,0.0
431,434,pages2k_1153,pages2k_1160,0.9969118556506823,0.0
432,433,pages2k_1156,pages2k_1157,0.9969118556506824,0.0
432,434,pages2k_1156,pages2k_1160,1.0,0.0
433,434,pages2k_1157,pages2k_1160,0.9967946398784733,0.0
471,473,pages2k_1265,pages2k_1267,0.9820614146440003,0.0
476,478,pages2k_1280,pages2k_1282,0.9871690699479753,0.0
488,489,pages2k_1313,pages2k_1314,0.9857030939117465,0.0
495,496,pages2k_1338,pages2k_1339,0.9999919135876111,0.0
495,497,pages2k_1338,pages2k_1340,0.9999919135876111,0.0
496,497,pages2k_1339,pages2k_1340,0.9999999999999998,0.0
503,504,pages2k_1362,pages2k_1365,0.9992389529344313,0.0
524,526,pages2k_1433,pages2k_1435,0.9813467104382118,0.0
527,528,pages2k_1442,pages2k_1444,1.0,0.0
542,595,pages2k_1488,pages2k_1628,0.9999312398195644,0.0
549,550,pages2k_1512,pages2k_1515,0.9995242976054546,0.0
549,551,pages2k_1512,pages2k_1516,0.9999609640021911,0.0
549,552,pages2k_1512,pages2k_1519,0.9995242976054546,0.0
550,551,pages2k_1515,pages2k_1516,0.9995254687925607,0.0
550,552,pages2k_1515,pages2k_1519,1.0,0.0
551,552,pages2k_1516,pages2k_1519,0.9995254687925605,0.0
553,554,pages2k_1520,pages2k_1522,1.0,0.0
577,578,pages2k_1579,pages2k_1580,0.999943125767122,0.0
577,579,pages2k_1579,pages2k_1581,0.999943125767122,0.0
578,579,pages2k_1580,pages2k_1581,1.0,0.0
589,591,pages2k_1616,pages2k_1620,1.0,0.0
590,592,pages2k_1619,pages2k_1623,1.0,0.0
614,615,pages2k_1686,pages2k_1688,1.0,0.0
640,1088,pages2k_1755,pages2k_2953,0.9870599169304216,0.0
670,672,pages2k_1850,pages2k_1852,0.9825077468300437,0.0
684,685,pages2k_1891,pages2k_1893,0.9999999999999998,0.0
696,697,pages2k_1920,pages2k_1923,0.9983731192234753,0.0
700,701,pages2k_1932,pages2k_1934,1.0,0.0
716,717,pages2k_1972,pages2k_1973,0.999919760317777,0.0
718,719,pages2k_1976,pages2k_1978,0.9999999999995495,0.0
718,720,pages2k_1976,pages2k_1980,1.0,0.0
718,721,pages2k_1976,pages2k_1983,0.9999999999995495,0.0
719,720,pages2k_1978,pages2k_1980,0.9999999999995495,0.0
719,721,pages2k_1978,pages2k_1983,1.0,0.0
720,721,pages2k_1980,pages2k_1983,0.9999999999995742,0.0
724,725,pages2k_1989,pages2k_1991,0.9999999999990443,0.0
724,726,pages2k_1989,pages2k_1992,0.9999999999991114,0.0
724,727,pages2k_1989,pages2k_1993,0.9999999999991044,0.0
725,726,pages2k_1991,pages2k_1992,0.9999999999993048,0.0
725,727,pages2k_1991,pages2k_1993,0.9999999999994014,0.0
726,727,pages2k_1992,pages2k_1993,0.9999999999989425,0.0
738,739,pages2k_2026,pages2k_2027,0.9963426950104165,0.0
738,740,pages2k_2026,pages2k_2028,0.9975669937041248,0.0
739,740,pages2k_2027,pages2k_2028,0.9956053296836735,0.0
765,766,pages2k_2098,pages2k_2101,1.0,0.0
765,767,pages2k_2098,pages2k_2103,0.990390473253425,0.0
766,767,pages2k_2101,pages2k_2103,0.9899897774994173,0.0
784,786,pages2k_2146,pages2k_2149,0.9676859064640569,0.0
784,787,pages2k_2146,pages2k_2150,0.9832956643776358,0.0
786,787,pages2k_2149,pages2k_2150,0.9910167365890014,0.0
794,795,pages2k_2169,pages2k_2170,0.9830719468331104,0.0
794,796,pages2k_2169,pages2k_2171,0.9907704814546175,0.0
795,796,pages2k_2170,pages2k_2171,0.9914690362582058,0.0
823,825,pages2k_2237,pages2k_2239,0.9818417747139695,0.0
844,845,pages2k_2287,pages2k_2290,0.9999995540362934,0.0
846,847,pages2k_2291,pages2k_2294,0.9999995540362934,0.0
864,865,pages2k_2339,pages2k_2340,0.9953580115936295,0.0
864,866,pages2k_2339,pages2k_2344,0.9819400601513617,0.0
898,899,pages2k_2443,pages2k_2444,0.9877417539440821,0.0
898,900,pages2k_2443,pages2k_2445,0.9927094708975835,0.0
899,900,pages2k_2444,pages2k_2445,0.9965353676467466,0.0
904,906,pages2k_2460,pages2k_2462,0.9830724324287902,0.0
913,914,pages2k_2487,pages2k_2488,0.9871782824284754,0.0
917,918,pages2k_2500,pages2k_2502,1.0,0.0
946,948,pages2k_2574,pages2k_2576,0.9868599034331715,0.0
950,951,pages2k_2592,pages2k_2595,0.999914233554569,0.0
950,952,pages2k_2592,pages2k_2596,1.0,0.0
950,953,pages2k_2592,pages2k_2599,0.999914233554569,0.0
951,952,pages2k_2595,pages2k_2596,0.999914233554569,0.0
951,953,pages2k_2595,pages2k_2599,1.0,0.0
952,953,pages2k_2596,pages2k_2599,0.9999135585869352,0.0
956,957,pages2k_2604,pages2k_2606,0.9999999999998915,0.0
958,959,pages2k_2607,pages2k_2609,0.9993063378972388,0.0
958,960,pages2k_2607,pages2k_2610,1.0,0.0
958,961,pages2k_2607,pages2k_2612,0.9993063378972388,0.0
959,960,pages2k_2609,pages2k_2610,0.9993063378972388,0.0
959,961,pages2k_2609,pages2k_2612,1.0,0.0
960,961,pages2k_2610,pages2k_2612,0.9993063378972388,0.0
980,982,pages2k_2660,pages2k_2662,0.9848388937589673,0.0
1005,1006,pages2k_2735,pages2k_2736,0.9999992597410725,0.0
1005,1007,pages2k_2735,pages2k_2737,0.9999992597410725,0.0
1006,1007,pages2k_2736,pages2k_2737,1.0,0.0
1012,1013,pages2k_2752,pages2k_2755,0.9994757834201398,0.0
1012,1014,pages2k_2752,pages2k_2756,1.0,0.0
1012,1015,pages2k_2752,pages2k_2759,0.9994757834201398,0.0
1013,1014,pages2k_2755,pages2k_2756,0.9994757834201398,0.0
1013,1015,pages2k_2755,pages2k_2759,1.0,0.0
1014,1015,pages2k_2756,pages2k_2759,0.9994757834201398,0.0
1031,1032,pages2k_2793,pages2k_2795,0.9980751700561887,0.0
1032,1034,pages2k_2795,pages2k_2798,0.9808797757205986,0.0
1033,1034,pages2k_2796,pages2k_2798,0.9982162224217608,0.0
1045,1047,pages2k_2830,pages2k_2832,0.990453589884106,0.0
1049,1051,pages2k_2843,pages2k_2845,0.9862861172127594,0.0
1053,1055,pages2k_2856,pages2k_2858,0.9897721213905979,0.0
1068,1069,pages2k_2899,pages2k_2901,0.9999406235904933,0.0
1070,1071,pages2k_2904,pages2k_2906,0.9975794070998795,0.0
1072,1073,pages2k_2908,pages2k_2910,0.9999999999999999,0.0
1096,1098,pages2k_2976,pages2k_2978,0.9803855728307221,0.0
1108,1109,pages2k_3015,pages2k_3016,0.9999890751465553,0.0
1108,1110,pages2k_3015,pages2k_3017,0.9999890751465553,0.0
1109,1110,pages2k_3016,pages2k_3017,1.0,0.0
1113,1114,pages2k_3028,pages2k_3030,0.9996177606042984,0.0
1113,1115,pages2k_3028,pages2k_3031,1.0,0.0
1113,1116,pages2k_3028,pages2k_3033,0.9996177606042984,0.0
1114,1115,pages2k_3030,pages2k_3031,0.9996177606042983,0.0
