,geo_meanLat,geo_meanLon,geo_meanElev,paleoData_values,year
0,76.62,-36.4,2508.0,"[-35.44 -35.6  -35.65 -36.93 -37.5  -37.18 -36.91 -37.72 -38.95 -38.14
 -36.93 -36.47 -36.96 -37.92 -36.12 -33.51 -32.12 -36.48 -37.66 -35.78
 -34.64 -36.63 -37.25 -34.38 -32.22 -33.29 -35.39 -35.35 -35.02 -34.97
 -34.89 -33.49 -33.01 -34.27 -35.12 -35.13 -34.89 -34.56 -34.06 -32.27
 -31.7  -32.86 -34.28 -34.42 -34.68 -35.95 -37.25 -36.89 -35.89 -35.84
 -36.09 -36.54 -36.88 -35.71 -34.55 -34.41 -36.02 -36.73 -37.5  -36.35
 -37.17 -38.06 -35.49 -33.85 -35.71 -35.48 -36.85 -36.5  -36.74 -37.34
 -36.18 -34.08 -35.08 -35.73 -35.01 -35.07 -36.2  -35.4  -34.16 -34.81
 -34.3  -34.49 -34.48 -35.01 -35.22 -35.41 -37.62 -36.96 -34.37 -33.77
 -33.54 -34.88 -36.74 -37.   -35.93 -35.77 -36.57 -36.1  -36.92 -37.74
 -38.24 -37.31 -35.72 -36.03 -36.86 -35.58 -33.96 -33.86 -33.09 -32.7
 -33.65 -34.25 -34.73 -36.48 -37.   -35.86 -34.33 -34.66 -34.82 -37.49
 -36.14 -34.77 -37.24 -35.92 -37.32 -36.04 -37.62 -36.48 -34.8  -35.01
 -35.8  -39.32 -35.42 -36.34 -37.57 -33.75 -32.07 -37.25 -36.48 -36.91
 -37.63 -37.85 -38.3 ]","[1850. 1851. 1852. 1853. 1854. 1855. 1856. 1857. 1858. 1859. 1860. 1861.
 1862. 1863. 1864. 1865. 1866. 1867. 1868. 1869. 1870. 1871. 1872. 1873.
 1874. 1875. 1876. 1877. 1878. 1879. 1880. 1881. 1882. 1883. 1884. 1885.
 1886. 1887. 1888. 1889. 1890. 1891. 1892. 1893. 1894. 1895. 1896. 1897.
 1898. 1899. 1900. 1901. 1902. 1903. 1904. 1905. 1906. 1907. 1908. 1909.
 1910. 1911. 1912. 1913. 1914. 1915. 1916. 1917. 1918. 1919. 1920. 1921.
 1922. 1923. 1924. 1925. 1926. 1927. 1928. 1929. 1930. 1931. 1932. 1933.
 1934. 1935. 1936. 1937. 1938. 1939. 1940. 1941. 1942. 1943. 1944. 1945.
 1946. 1947. 1948. 1949. 1950. 1951. 1952. 1953. 1954. 1955. 1956. 1957.
 1958. 1959. 1960. 1961. 1962. 1963. 1964. 1965. 1966. 1967. 1968. 1969.
 1970. 1971. 1972. 1973. 1974. 1975. 1976. 1977. 1978. 1979. 1980. 1981.
 1982. 1983. 1984. 1985. 1986. 1987. 1988. 1989. 1990. 1991. 1992.]"
1,71.12,-37.32,3172.0,"[-37.37 -35.26 -33.87 -35.51 -36.92 -36.45 -35.19 -37.86 -38.22 -36.72
 -37.63 -37.48 -36.99 -40.1  -39.14 -35.87 -36.58 -37.93 -33.78 -35.98
 -41.37 -37.33 -36.52 -34.63 -40.13 -35.01 -35.14 -38.08 -37.1  -36.44
 -36.09 -37.87 -39.85 -38.33 -37.73 -40.52 -40.12 -38.17 -35.17 -38.68
 -37.98 -37.34 -36.62 -35.2  -38.64 -35.5  -36.59 -36.89 -38.62 -35.97
 -39.48 -35.75 -36.19 -38.31 -38.74 -41.64 -39.63 -40.72 -34.82 -36.35
 -38.49 -36.29 -34.63 -39.54 -39.59 -36.93 -35.74 -35.14 -37.45 -37.38
 -40.9  -36.23 -37.39 -36.39 -36.41 -37.08 -35.39 -36.63 -38.91 -33.44
 -37.62 -36.65 -36.67 -35.57 -34.92 -35.7  -37.28 -38.65 -35.24 -36.88
 -33.28 -39.47 -33.88 -37.22 -38.29 -36.65 -33.25 -34.36 -35.53 -35.84
 -37.27 -36.37 -38.52 -36.93 -38.07 -34.26 -35.05 -35.72 -35.53 -34.42
 -37.15 -35.47 -35.13 -35.74 -34.88 -36.6  -35.36 -38.19 -37.91 -34.55
 -35.72 -34.78 -35.78 -36.65]","[1850. 1851. 1852. 1853. 1854. 1855. 1856. 1857. 1858. 1859. 1860. 1861.
 1862. 1863. 1864. 1865. 1866. 1867. 1868. 1869. 1870. 1871. 1872. 1873.
 1874. 1875. 1876. 1877. 1878. 1879. 1880. 1881. 1882. 1883. 1884. 1885.
 1886. 1887. 1888. 1889. 1890. 1891. 1892. 1893. 1894. 1895. 1896. 1897.
 1898. 1899. 1900. 1901. 1902. 1903. 1904. 1905. 1906. 1907. 1908. 1909.
 1910. 1911. 1912. 1913. 1914. 1915. 1916. 1917. 1918. 1919. 1920. 1921.
 1922. 1923. 1924. 1925. 1926. 1927. 1928. 1929. 1930. 1931. 1932. 1933.
 1934. 1935. 1936. 1937. 1938. 1939. 1940. 1941. 1942. 1943. 1944. 1945.
 1946. 1947. 1948. 1949. 1950. 1951. 1952. 1953. 1954. 1955. 1956. 1957.
 1958. 1959. 1960. 1961. 1962. 1963. 1964. 1965. 1966. 1967. 1968. 1969.
 1970. 1971. 1972. 1973.]"
2,72.1,-38.08,3200.0,"[-34.11 -32.9  -34.33 -35.15 -34.37 -34.33 -36.44 -36.88 -37.05 -35.83
 -35.38 -34.83 -35.8  -34.93 -34.34 -37.12 -35.61 -35.84 -35.58 -35.87
 -33.27 -32.17 -33.49 -35.4  -34.56 -33.94 -33.98 -34.69 -34.23 -34.22
 -34.6  -34.43 -35.13 -34.63 -35.72 -36.7  -36.09 -34.71 -35.12 -33.87
 -34.89 -35.26 -33.43 -36.03 -33.92 -34.67 -36.9  -35.86 -34.67 -36.52
 -34.99 -34.4  -35.84 -33.54 -35.49 -34.76 -34.19 -36.29 -33.33 -33.12
 -33.77 -35.39 -35.21 -36.32 -36.38 -36.96 -33.62 -34.99 -36.77 -36.79
 -35.98 -36.18 -37.57 -36.83 -36.81 -37.42 -36.22 -34.44 -34.29 -32.74
 -35.15 -34.83 -31.69 -34.51 -33.31 -33.27 -33.74 -35.9  -35.68 -34.24
 -31.87 -34.02 -32.42 -35.3  -35.55 -34.81 -35.14 -34.08 -33.93 -35.77
 -35.04 -35.57 -34.23 -34.31 -34.91 -35.06 -36.37 -36.11 -35.01 -33.97
 -33.92 -34.28 -31.92 -34.51 -33.61 -35.63 -34.53 -33.44 -35.38 -33.34
 -34.39 -35.05 -35.83 -34.99 -35.58 -34.71 -34.67 -33.01 -34.87 -38.69
 -35.64 -35.21 -36.55 -38.22 -34.49 -32.73 -35.82 -35.98]","[1850. 1851. 1852. 1853. 1854. 1855. 1856. 1857. 1858. 1859. 1860. 1861.
 1862. 1863. 1864. 1865. 1866. 1867. 1868. 1869. 1870. 1871. 1872. 1873.
 1874. 1875. 1876. 1877. 1878. 1879. 1880. 1881. 1882. 1883. 1884. 1885.
 1886. 1887. 1888. 1889. 1890. 1891. 1892. 1893. 1894. 1895. 1896. 1897.
 1898. 1899. 1900. 1901. 1902. 1903. 1904. 1905. 1906. 1907. 1908. 1909.
 1910. 1911. 1912. 1913. 1914. 1915. 1916. 1917. 1918. 1919. 1920. 1921.
 1922. 1923. 1924. 1925. 1926. 1927. 1928. 1929. 1930. 1931. 1932. 1933.
 1934. 1935. 1936. 1937. 1938. 1939. 1940. 1941. 1942. 1943. 1944. 1945.
 1946. 1947. 1948. 1949. 1950. 1951. 1952. 1953. 1954. 1955. 1956. 1957.
 1958. 1959. 1960. 1961. 1962. 1963. 1964. 1965. 1966. 1967. 1968. 1969.
 1970. 1971. 1972. 1973. 1974. 1975. 1976. 1977. 1978. 1979. 1980. 1981.
 1982. 1983. 1984. 1985. 1986. 1987.]"
3,80.0,-41.14,2185.0,"[-34.12 -33.88 -34.05 -35.17 -35.06 -34.05 -33.91 -32.47 -32.22 -33.36
 -34.38 -34.9  -36.38 -36.44 -34.5  -32.25 -32.9  -35.77 -38.33 -36.89
 -34.89 -33.58 -30.98 -31.3  -31.76 -32.17 -33.23 -32.99 -33.78 -33.63
 -32.13 -33.39 -34.37 -34.26 -34.42 -34.26 -34.36 -36.32 -35.36 -32.42
 -32.15 -33.86 -32.88 -32.81 -33.32 -32.53 -33.47 -34.67 -34.1  -34.18
 -33.83 -32.73 -34.79 -35.49 -35.48 -34.66 -33.06 -32.46 -34.19 -33.46
 -34.9  -34.03 -34.32 -31.79 -32.03 -32.89 -35.03 -36.21 -37.33 -37.55
 -36.89 -35.18 -34.49 -33.69 -33.83 -33.64 -31.63 -33.12 -34.43 -33.64
 -33.   -33.88 -33.3  -31.76 -32.12 -31.98 -32.62 -34.97 -36.8  -35.7
 -34.39 -34.15 -35.54 -36.15 -35.25 -33.89 -35.   -37.64 -35.48 -35.18
 -35.55 -34.91 -37.09 -39.05 -35.21 -34.51 -34.35 -32.55 -32.23 -32.98
 -33.43 -33.77 -34.48 -33.98 -33.77 -34.63 -32.75 -32.54 -33.19 -33.46
 -35.32 -32.67 -33.09 -32.2  -34.89 -33.78 -33.55 -35.17 -34.72 -35.56
 -33.08 -32.05 -33.15 -34.35 -34.4  -30.32 -33.29 -30.3  -33.59 -32.65
 -34.92 -32.73 -33.45 -31.29]","[1850. 1851. 1852. 1853. 1854. 1855. 1856. 1857. 1858. 1859. 1860. 1861.
 1862. 1863. 1864. 1865. 1866. 1867. 1868. 1869. 1870. 1871. 1872. 1873.
 1874. 1875. 1876. 1877. 1878. 1879. 1880. 1881. 1882. 1883. 1884. 1885.
 1886. 1887. 1888. 1889. 1890. 1891. 1892. 1893. 1894. 1895. 1896. 1897.
 1898. 1899. 1900. 1901. 1902. 1903. 1904. 1905. 1906. 1907. 1908. 1909.
 1910. 1911. 1912. 1913. 1914. 1915. 1916. 1917. 1918. 1919. 1920. 1921.
 1922. 1923. 1924. 1925. 1926. 1927. 1928. 1929. 1930. 1931. 1932. 1933.
 1934. 1935. 1936. 1937. 1938. 1939. 1940. 1941. 1942. 1943. 1944. 1945.
 1946. 1947. 1948. 1949. 1950. 1951. 1952. 1953. 1954. 1955. 1956. 1957.
 1958. 1959. 1960. 1961. 1962. 1963. 1964. 1965. 1966. 1967. 1968. 1969.
 1970. 1971. 1972. 1973. 1974. 1975. 1976. 1977. 1978. 1979. 1980. 1981.
 1982. 1983. 1984. 1985. 1986. 1987. 1988. 1989. 1990. 1991. 1992. 1993.]"
4,-74.21,-9.75,1439.0,"[-33.47 -27.23 -32.31 -30.77 -30.16 -33.05 -29.99 -31.85 -30.55 -31.16
 -32.65 -32.57 -31.41 -31.64 -31.79 -31.2  -32.68 -33.54 -33.55 -33.63
 -26.84 -28.13 -32.6  -33.99 -35.14 -29.03 -33.78 -29.73 -32.98 -33.74
 -31.95 -34.03 -33.98 -32.19 -32.13 -29.66 -29.95 -32.45 -35.17 -31.42
 -32.87 -33.15 -33.05 -32.62 -33.19 -33.2  -32.65 -32.03 -33.39 -34.46
 -35.17 -32.81 -31.7  -32.69 -34.04 -34.37 -32.01 -31.27 -33.79 -35.4
 -34.07 -34.17 -30.86 -33.05 -34.08 -34.68 -31.9  -31.17 -31.37 -32.33
 -32.71 -32.69 -32.8  -32.25 -31.69 -31.86 -33.78 -34.44 -31.65 -33.34
 -31.96 -31.27 -33.   -33.91 -34.71 -32.49 -31.28 -31.67 -33.82 -34.15
 -32.94 -32.59 -33.05 -32.15 -30.8  -31.5  -32.88 -33.49 -34.29 -33.69
 -32.45 -31.42 -33.13 -34.03 -32.55 -32.64 -34.1  -31.97 -30.79 -30.77
 -31.43 -33.27 -32.69 -32.41 -34.07 -33.88 -34.02]","[1997. 1996. 1995. 1994. 1993. 1992. 1991. 1990. 1989. 1988. 1987. 1986.
 1985. 1984. 1983. 1982. 1981. 1980. 1979. 1978. 1977. 1976. 1975. 1974.
 1973. 1972. 1971. 1970. 1969. 1968. 1967. 1966. 1965. 1964. 1963. 1962.
 1961. 1960. 1959. 1958. 1957. 1956. 1955. 1954. 1953. 1952. 1951. 1950.
 1949. 1948. 1947. 1946. 1945. 1944. 1943. 1942. 1941. 1940. 1939. 1938.
 1937. 1936. 1935. 1934. 1933. 1932. 1931. 1930. 1929. 1928. 1927. 1926.
 1925. 1924. 1923. 1922. 1921. 1920. 1919. 1918. 1917. 1916. 1915. 1914.
 1913. 1912. 1911. 1910. 1909. 1908. 1907. 1906. 1905. 1904. 1903. 1902.
 1901. 1900. 1899. 1898. 1897. 1896. 1895. 1894. 1893. 1892. 1891. 1890.
 1889. 1888. 1887. 1886. 1885. 1884. 1883. 1882. 1881.]"
5,75.0016,-42.0004,2947.0,"[-32.8 -36.7 -34.7 -34.7 -36.8 -38.  -37.8 -35.  -34.2 -32.7 -35.3 -36.
 -34.5 -33.9 -35.3 -36.7 -34.1 -33.5 -35.1 -33.7 -35.4 -35.1 -35.4 -33.7
 -34.9 -35.3 -34.  -34.2 -33.6 -36.6 -35.  -35.8 -35.7 -34.7 -37.  -36.2
 -34.4 -35.2 -38.4 -36.2 -35.2 -35.1 -36.4 -36.6 -37.5 -37.3 -35.2 -35.8
 -34.  -33.4 -35.3 -35.2 -35.4 -35.7 -36.3 -34.4 -33.6 -34.  -34.  -33.7
 -31.5 -32.7 -34.2 -36.4 -36.8 -37.3 -35.  -36.1 -35.5 -36.1 -36.6 -37.3
 -34.7 -32.7 -35.1 -35.1 -34.3 -33.9 -35.6 -37.1 -35.  -34.7 -34.9 -34.4
 -36.3 -33.8 -33.  -34.8 -34.8 -36.1 -36.9 -36.6 -35.6 -35.3 -35.3 -36.2
 -33.7 -34.1 -34.2 -33.7 -34.5 -34.8 -36.8 -35.2 -35.4 -36.5 -36.3 -35.
 -35.5 -37.  -34.3 -34.2 -34.  -34.5 -35.5 -35.1 -35.1 -33.2 -34.  -34.1
 -35.1 -37.8 -36.8 -36.6 -35.9 -36.6 -38.5 -36.7 -35.7 -35.2 -35.4 -36.3
 -34.3 -34.9 -34.9 -35.4 -36.4 -33.8 -34.3]","[1988. 1987. 1986. 1985. 1984. 1983. 1982. 1981. 1980. 1979. 1978. 1977.
 1976. 1975. 1974. 1973. 1972. 1971. 1970. 1969. 1968. 1967. 1966. 1965.
 1964. 1963. 1962. 1961. 1960. 1959. 1958. 1957. 1956. 1955. 1954. 1953.
 1952. 1951. 1950. 1949. 1948. 1947. 1946. 1945. 1944. 1943. 1942. 1941.
 1940. 1939. 1938. 1937. 1936. 1935. 1934. 1933. 1932. 1931. 1930. 1929.
 1928. 1927. 1926. 1925. 1924. 1923. 1922. 1921. 1920. 1919. 1918. 1917.
 1916. 1915. 1914. 1913. 1912. 1911. 1910. 1909. 1908. 1907. 1906. 1905.
 1904. 1903. 1902. 1901. 1900. 1899. 1898. 1897. 1896. 1895. 1894. 1893.
 1892. 1891. 1890. 1889. 1888. 1887. 1886. 1885. 1884. 1883. 1882. 1881.
 1880. 1879. 1878. 1877. 1876. 1875. 1874. 1873. 1872. 1871. 1870. 1869.
 1868. 1867. 1866. 1865. 1864. 1863. 1862. 1861. 1860. 1859. 1858. 1857.
 1856. 1855. 1854. 1853. 1852. 1851. 1850.]"
6,80.7,-73.1,1700.0,[-27.18 -27.03 -27.24 -27.25 -27.67 -28.49],[1960. 1940. 1920. 1900. 1880. 1860.]
7,-70.86,11.54,703.0,"[-25.069439 -25.205368 -24.60958  -24.0049   -23.400223 -23.2743
 -23.662888 -24.051476 -24.440062 -24.647131 -24.849926 -25.052721
 -25.1823   -25.229649 -25.276995 -25.324343 -25.293522 -25.259865
 -25.226208 -25.250679 -25.343662 -25.436646 -25.52963  -25.28012
 -25.01372  -24.74732  -24.647856 -24.754917 -24.861979 -24.969038
 -24.336338 -23.675215 -23.593546 -23.71759  -22.933384 -22.53059
 -22.495085 -22.43229  -22.346897 -22.716211 -24.042952 -25.232843
 -25.148762 -25.064678 -25.13561  -25.229094 -25.248312 -25.227188
 -25.38325  -25.781002 -26.168552 -26.514774 -26.860998 -27.052105
 -27.23907  -27.235168 -27.167303 -26.896667 -26.441837 -26.047264
 -25.793966 -25.540668 -25.287369 -28.36894  -28.137032 -27.58155
 -26.46557  -25.444855 -23.449165 -22.370924 -22.645115 -23.417198
 -23.613937 -23.579493 -23.639269 -23.699043 -24.195316 -24.698689
 -24.531498 -24.151392 -23.771284 -23.667622 -23.645142 -23.645748
 -23.705137 -23.933983 -24.403673 -24.873363 -24.713062 -24.477179
 -23.85084  -23.332697 -23.288054 -23.554426 -24.013042 -24.471659
 -24.323885 -24.04926  -24.15542  -24.27786  -24.6661   -25.356483
 -26.15967  -27.607124 -29.054577 -27.520803 -25.894829 -25.715872
 -25.919249 -26.055338 -25.254421 -24.453505 -24.82007  -25.400991
 -26.175657 -26.891008 -26.864098 -25.369797 -25.199148 -25.403782
 -25.608416 -25.81305  -26.312399 -27.066874 -27.235104 -26.347439
 -25.459774 -24.433603 -23.327133 -23.21492  -24.298445 -24.401293
 -24.387966 -25.28792  -26.09809  -26.835093 -26.324867 -25.70027
 -25.247314 -24.855612 -24.474363 -24.886938 -25.299513 -24.7935
 -24.104652]","[1994. 1993. 1992. 1991. 1990. 1989. 1988. 1987. 1986. 1985. 1984. 1983.
 1982. 1981. 1980. 1979. 1978. 1977. 1976. 1975. 1974. 1973. 1972. 1971.
 1970. 1969. 1968. 1967. 1966. 1965. 1964. 1963. 1962. 1961. 1960. 1959.
 1958. 1957. 1956. 1955. 1954. 1953. 1952. 1951. 1950. 1949. 1948. 1947.
 1946. 1945. 1944. 1943. 1942. 1941. 1940. 1939. 1938. 1937. 1936. 1935.
 1934. 1933. 1932. 1931. 1930. 1929. 1928. 1927. 1926. 1925. 1924. 1923.
 1922. 1921. 1920. 1919. 1918. 1917. 1916. 1915. 1914. 1913. 1912. 1911.
 1910. 1909. 1908. 1907. 1906. 1905. 1904. 1903. 1902. 1901. 1900. 1899.
 1898. 1897. 1896. 1895. 1894. 1893. 1892. 1891. 1890. 1889. 1888. 1887.
 1886. 1885. 1884. 1883. 1882. 1881. 1880. 1879. 1878. 1877. 1876. 1875.
 1874. 1873. 1872. 1871. 1870. 1869. 1868. 1867. 1866. 1865. 1864. 1863.
 1862. 1861. 1860. 1859. 1858. 1857. 1856. 1855. 1854. 1853. 1852. 1851.
 1850.]"
8,-75.92,-84.25,1054.0,"[-29.661 -29.436 -28.767 -28.24  -30.006 -29.999 -30.657 -30.273 -28.786
 -29.964 -28.837 -29.435 -29.383 -29.305 -30.063 -30.459 -29.477 -29.927
 -30.84  -29.436 -30.327 -30.054 -29.281 -28.721 -29.823 -31.042 -30.701
 -30.517 -31.234 -29.722 -28.887 -30.496 -30.661 -30.107 -28.702 -30.309
 -30.737 -29.811 -28.186 -28.594 -31.507 -29.894 -28.934 -27.739 -28.298
 -30.046 -30.117 -29.829 -29.492 -28.972 -29.389 -29.971 -29.58  -28.877
 -31.073 -29.866 -30.364 -29.273 -29.405 -29.904 -29.06  -30.056 -28.423
 -28.881 -31.078 -29.782 -29.949 -29.396 -30.289 -30.742 -28.801 -28.607
 -29.593 -30.637 -28.721 -28.825 -30.339 -30.841 -31.486 -28.531 -29.034
 -27.792 -28.741 -29.37  -30.606 -29.208 -29.937 -29.284 -30.866 -30.595
 -29.676 -29.644 -29.576 -29.029 -27.938 -28.68  -28.56  -28.749 -29.726
 -31.398 -27.212 -30.783 -30.774 -30.837 -30.335 -28.365 -29.769 -28.057
 -31.242 -30.511 -29.009 -28.261 -30.185 -30.512 -29.285 -29.351 -29.491
 -28.073 -29.993 -29.944 -30.7   -31.137 -28.499 -29.671 -30.592 -28.995
 -30.182 -31.403 -27.889 -29.15  -29.204 -29.945 -30.716 -29.637]","[1983. 1982. 1981. 1980. 1979. 1978. 1977. 1976. 1975. 1974. 1973. 1972.
 1971. 1970. 1969. 1968. 1967. 1966. 1965. 1964. 1963. 1962. 1961. 1960.
 1959. 1958. 1957. 1956. 1955. 1954. 1953. 1952. 1951. 1950. 1949. 1948.
 1947. 1946. 1945. 1944. 1943. 1942. 1941. 1940. 1939. 1938. 1937. 1936.
 1935. 1934. 1933. 1932. 1931. 1930. 1929. 1928. 1927. 1926. 1925. 1924.
 1923. 1922. 1921. 1920. 1919. 1918. 1917. 1916. 1915. 1914. 1913. 1912.
 1911. 1910. 1909. 1908. 1907. 1906. 1905. 1904. 1903. 1902. 1901. 1900.
 1899. 1898. 1897. 1896. 1895. 1894. 1893. 1892. 1891. 1890. 1889. 1888.
 1887. 1886. 1885. 1884. 1883. 1882. 1881. 1880. 1879. 1878. 1877. 1876.
 1875. 1874. 1873. 1872. 1871. 1870. 1869. 1868. 1867. 1866. 1865. 1864.
 1863. 1862. 1861. 1860. 1859. 1858. 1857. 1856. 1855. 1854. 1853. 1852.
 1851. 1850.]"
9,75.1,-42.32,2917.0,[-35.82 -35.11 -34.65 -34.53 -35.29 -35.02],[1960. 1940. 1920. 1900. 1880. 1860.]
