# Decisions for duplicate candidate pairs. 
# Operated by Lucie Luecke (LL)
# E-Mail: ljluec1@st-andrews.ac.uk
# Created on: 2025-11-11 15:00:09.281159 (UTC)
index 1,index 2,figure path,datasetId 1,datasetId 2,originalDatabase 1,originalDatabase 2,geo_siteName 1,geo_siteName 2,geo_meanLat 1,geo_meanLat 2,geo_meanLon 1,geo_meanLon 2,geo_meanElevation 1,geo_meanElevation 2,archiveType 1,archiveType 2,paleoData_proxy 1,paleoData_proxy 2,originalDataURL 1,originalDataURL 2,year 1,year 2,Decision 1,Decision 2,Decision type,Decision comment
2,24,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/tmp/dup_detection/000_dod2k_composite_z_pages2k_468_pages2k_3550_dod2k_composite_z_pages2k_3550_FE23_asia_russ137w__2_24.jpg,dod2k_composite_z_pages2k_468_pages2k_3550,dod2k_composite_z_pages2k_3550_FE23_asia_russ137w,dod2k_composite_z,dod2k_composite_z,"Altai Mt., Ust Ulagan Lake","COMPOSITE: Altai Mt., Ust Ulagan Lake + UstUlaganLake(Altai)",50.47999954223633,50.481666564941406,87.6500015258789,87.6500015258789,2150.0,2150.0,Wood,Wood,ring width,ring width,"pages2k_468: https://www.ncdc.noaa.gov/paleo/study/4710, pages2k_3550: https://www.ncdc.noaa.gov/paleo/study/4710","pages2k_3550: https://www.ncdc.noaa.gov/paleo/study/4710, FE23_asia_russ137w: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ137w-noaa.rwl",1581.0-1994.0,1581.0-1994.0,KEEP,REMOVE,AUTO: IDENTICAL except for URLs and/or geo_siteName.,RECORDS IDENTICAL (perfect correlation) except for metadata. Automatically choose #1.
2,38,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/tmp/dup_detection/001_dod2k_composite_z_pages2k_468_pages2k_3550_pages2k_468__2_38.jpg,dod2k_composite_z_pages2k_468_pages2k_3550,pages2k_468,dod2k_composite_z,PAGES 2k v2.2.0,"Altai Mt., Ust Ulagan Lake","Altai Mt., Ust Ulagan Lake",50.47999954223633,50.47999954223633,87.6500015258789,87.6500015258789,2150.0,2150.0,Wood,Wood,ring width,ring width,"pages2k_468: https://www.ncdc.noaa.gov/paleo/study/4710, pages2k_3550: https://www.ncdc.noaa.gov/paleo/study/4710",https://www.ncdc.noaa.gov/paleo/study/4710,1581.0-1994.0,1581.0-1994.0,KEEP,REMOVE,AUTO: IDENTICAL except for URLs and/or geo_siteName.,RECORDS IDENTICAL (perfect correlation) except for metadata. Automatically choose #1.
5,41,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/tmp/dup_detection/002_dod2k_composite_z_pages2k_2795_pages2k_2798_pages2k_2793__5_41.jpg,dod2k_composite_z_pages2k_2795_pages2k_2798,pages2k_2793,dod2k_composite_z,PAGES 2k v2.2.0,Eastern tropical North Atlantic,Eastern tropical North Atlantic,16.84000015258789,16.840200424194336,-16.732999801635742,-16.73270034790039,-330.0,-330.0,MarineSediment,MarineSediment,Mg/Ca,Mg/Ca,"pages2k_2795: http://doi.pangaea.de/10.1594/PANGAEA.773754, pages2k_2798: http://doi.pangaea.de/10.1594/PANGAEA.773754",http://doi.pangaea.de/10.1594/PANGAEA.773754,21.0-2004.0,21.0-2004.0,KEEP,REMOVE,AUTO: IDENTICAL except for URLs and/or geo_siteName.,RECORDS IDENTICAL (perfect correlation) except for metadata. Automatically choose #1.
5,42,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/tmp/dup_detection/003_dod2k_composite_z_pages2k_2795_pages2k_2798_pages2k_2796__5_42.jpg,dod2k_composite_z_pages2k_2795_pages2k_2798,pages2k_2796,dod2k_composite_z,PAGES 2k v2.2.0,Eastern tropical North Atlantic,Eastern tropical North Atlantic,16.84000015258789,16.840200424194336,-16.732999801635742,-16.73270034790039,-330.0,-330.0,MarineSediment,MarineSediment,Mg/Ca,Mg/Ca,"pages2k_2795: http://doi.pangaea.de/10.1594/PANGAEA.773754, pages2k_2798: http://doi.pangaea.de/10.1594/PANGAEA.773754",http://doi.pangaea.de/10.1594/PANGAEA.773754,21.0-2004.0,21.0-1947.0,KEEP,KEEP,MANUAL,b
15,35,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/tmp/dup_detection/004_dod2k_composite_z_pages2k_3085_iso2k_1556_dod2k_composite_z_ch2k_KU00NIN01_150_iso2k_1556__15_35.jpg,dod2k_composite_z_pages2k_3085_iso2k_1556,dod2k_composite_z_ch2k_KU00NIN01_150_iso2k_1556,dod2k_composite_z,dod2k_composite_z,"COMPOSITE: Ningaloo + Ningaloo Reef, West Australia","COMPOSITE: Ningaloo Reef, Australia + Ningaloo Reef, West Australia",-21.905000686645508,-21.905000686645508,113.96499633789062,113.96499633789062,-3.0,-3.0,Coral,Coral,d18O,d18O,"pages2k_3085: http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:::::P1_study_id:1867, iso2k_1556: https://www.ncdc.noaa.gov/paleo/study/1867","ch2k_KU00NIN01_150: https://www.ncdc.noaa.gov/paleo/study/1867, iso2k_1556: https://www.ncdc.noaa.gov/paleo/study/1867",1878.7-1995.2,1878.7-1995.2,KEEP,REMOVE,AUTO: IDENTICAL except for URLs and/or geo_siteName.,RECORDS IDENTICAL (perfect correlation) except for metadata. Automatically choose #1.
15,37,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/tmp/dup_detection/005_dod2k_composite_z_pages2k_3085_iso2k_1556_dod2k_composite_z_iso2k_1554_iso2k_1556__15_37.jpg,dod2k_composite_z_pages2k_3085_iso2k_1556,dod2k_composite_z_iso2k_1554_iso2k_1556,dod2k_composite_z,dod2k_composite_z,"COMPOSITE: Ningaloo + Ningaloo Reef, West Australia","Ningaloo Reef, West Australia",-21.905000686645508,-21.905000686645508,113.96499633789062,113.96499633789062,-3.0,-3.0,Coral,Coral,d18O,d18O,"pages2k_3085: http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:::::P1_study_id:1867, iso2k_1556: https://www.ncdc.noaa.gov/paleo/study/1867","iso2k_1554: https://www.ncdc.noaa.gov/paleo/study/1867, iso2k_1556: https://www.ncdc.noaa.gov/paleo/study/1867",1878.7-1995.2,1878.7-1995.2,KEEP,REMOVE,AUTO: IDENTICAL except for URLs and/or geo_siteName.,RECORDS IDENTICAL (perfect correlation) except for metadata. Automatically choose #1.
15,43,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/tmp/dup_detection/006_dod2k_composite_z_pages2k_3085_iso2k_1556_ch2k_KU00NIN01_150__15_43.jpg,dod2k_composite_z_pages2k_3085_iso2k_1556,ch2k_KU00NIN01_150,dod2k_composite_z,CoralHydro2k v1.0.1,"COMPOSITE: Ningaloo + Ningaloo Reef, West Australia","Ningaloo Reef, Australia",-21.905000686645508,-21.905000686645508,113.96499633789062,113.96499633789062,-3.0,-3.0,Coral,Coral,d18O,d18O,"pages2k_3085: http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:::::P1_study_id:1867, iso2k_1556: https://www.ncdc.noaa.gov/paleo/study/1867",https://www.ncdc.noaa.gov/paleo/study/1867,1878.7-1995.2,1878.7-1995.2,COMPOSITE,COMPOSITE,MANUAL,c
15,44,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/tmp/dup_detection/007_dod2k_composite_z_pages2k_3085_iso2k_1556_iso2k_1554__15_44.jpg,dod2k_composite_z_pages2k_3085_iso2k_1556,iso2k_1554,dod2k_composite_z,Iso2k v1.1.2,"COMPOSITE: Ningaloo + Ningaloo Reef, West Australia","Ningaloo Reef, West Australia",-21.905000686645508,-21.905000686645508,113.96499633789062,113.96499633789062,-3.0,-3.0,Coral,Coral,d18O,d18O,"pages2k_3085: http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:::::P1_study_id:1867, iso2k_1556: https://www.ncdc.noaa.gov/paleo/study/1867",https://www.ncdc.noaa.gov/paleo/study/1867,1878.7-1995.2,1878.7-1995.2,KEEP,REMOVE,MANUAL,1
15,45,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/tmp/dup_detection/008_dod2k_composite_z_pages2k_3085_iso2k_1556_ch2k_KU00NIN01_150__15_45.jpg,dod2k_composite_z_pages2k_3085_iso2k_1556,ch2k_KU00NIN01_150,dod2k_composite_z,CoralHydro2k v1.0.1,"COMPOSITE: Ningaloo + Ningaloo Reef, West Australia","Ningaloo Reef, Australia",-21.905000686645508,-21.905000686645508,113.96499633789062,113.96499633789062,-3.0,-3.0,Coral,Coral,d18O,d18O,"pages2k_3085: http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:::::P1_study_id:1867, iso2k_1556: https://www.ncdc.noaa.gov/paleo/study/1867",https://www.ncdc.noaa.gov/paleo/study/1867,1878.7-1995.2,1878.7-1995.2,KEEP,REMOVE,MANUAL,1
15,46,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/tmp/dup_detection/009_dod2k_composite_z_pages2k_3085_iso2k_1556_iso2k_1554__15_46.jpg,dod2k_composite_z_pages2k_3085_iso2k_1556,iso2k_1554,dod2k_composite_z,Iso2k v1.1.2,"COMPOSITE: Ningaloo + Ningaloo Reef, West Australia","Ningaloo Reef, West Australia",-21.905000686645508,-21.905000686645508,113.96499633789062,113.96499633789062,-3.0,-3.0,Coral,Coral,d18O,d18O,"pages2k_3085: http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:::::P1_study_id:1867, iso2k_1556: https://www.ncdc.noaa.gov/paleo/study/1867",https://www.ncdc.noaa.gov/paleo/study/1867,1878.7-1995.2,1878.7-1995.2,KEEP,REMOVE,MANUAL,1
