index 1,index 2,ID 1,ID 2,correlation,distance (km)
2,24,all_merged_composite_z_pages2k_468_pages2k_3550,all_merged_composite_z_pages2k_3550_FE23_asia_russ137w,0.9976463442805509,0.18536472926159012
2,38,all_merged_composite_z_pages2k_468_pages2k_3550,pages2k_468,0.9967694095935349,0.0
5,41,all_merged_composite_z_pages2k_2795_pages2k_2798,pages2k_2793,0.9801240993491339,0.03887938926313049
5,42,all_merged_composite_z_pages2k_2795_pages2k_2798,pages2k_2796,0.9981000171382689,0.03887938926313049
15,35,all_merged_composite_z_pages2k_3085_iso2k_1556,all_merged_composite_z_ch2k_KU00NIN01_150_iso2k_1556,0.9999999999998324,0.0
15,37,all_merged_composite_z_pages2k_3085_iso2k_1556,all_merged_composite_z_iso2k_1554_iso2k_1556,0.9999999999998324,0.0
15,43,all_merged_composite_z_pages2k_3085_iso2k_1556,ch2k_KU00NIN01_150,0.9999965082702662,0.0
15,44,all_merged_composite_z_pages2k_3085_iso2k_1556,iso2k_1554,0.9999965082702662,0.0
15,45,all_merged_composite_z_pages2k_3085_iso2k_1556,ch2k_KU00NIN01_150,0.9999965082702662,0.0
15,46,all_merged_composite_z_pages2k_3085_iso2k_1556,iso2k_1554,0.9999965082702662,0.0
24,38,all_merged_composite_z_pages2k_3550_FE23_asia_russ137w,pages2k_468,0.989971736211837,0.18536472926159012
34,36,all_merged_composite_z_ch2k_KU99HOU01_40_iso2k_788,all_merged_composite_z_iso2k_786_iso2k_788,0.9999999999999957,0.0
34,47,all_merged_composite_z_ch2k_KU99HOU01_40_iso2k_788,iso2k_786,0.9999968786007761,0.044707114809104685
35,37,all_merged_composite_z_ch2k_KU00NIN01_150_iso2k_1556,all_merged_composite_z_iso2k_1554_iso2k_1556,1.0,0.0
35,43,all_merged_composite_z_ch2k_KU00NIN01_150_iso2k_1556,ch2k_KU00NIN01_150,0.999996508270265,0.0
35,44,all_merged_composite_z_ch2k_KU00NIN01_150_iso2k_1556,iso2k_1554,0.999996508270265,0.0
35,45,all_merged_composite_z_ch2k_KU00NIN01_150_iso2k_1556,ch2k_KU00NIN01_150,0.999996508270265,0.0
35,46,all_merged_composite_z_ch2k_KU00NIN01_150_iso2k_1556,iso2k_1554,0.999996508270265,0.0
36,47,all_merged_composite_z_iso2k_786_iso2k_788,iso2k_786,0.9999968786004984,0.044707114809104685
37,43,all_merged_composite_z_iso2k_1554_iso2k_1556,ch2k_KU00NIN01_150,0.999996508270265,0.0
37,44,all_merged_composite_z_iso2k_1554_iso2k_1556,iso2k_1554,0.999996508270265,0.0
37,45,all_merged_composite_z_iso2k_1554_iso2k_1556,ch2k_KU00NIN01_150,0.999996508270265,0.0
37,46,all_merged_composite_z_iso2k_1554_iso2k_1556,iso2k_1554,0.999996508270265,0.0
39,40,pages2k_1089,pages2k_1089,1.0,0.0
43,44,ch2k_KU00NIN01_150,iso2k_1554,1.0,0.0
43,45,ch2k_KU00NIN01_150,ch2k_KU00NIN01_150,1.0,0.0
43,46,ch2k_KU00NIN01_150,iso2k_1554,1.0,0.0
44,45,iso2k_1554,ch2k_KU00NIN01_150,1.0,0.0
44,46,iso2k_1554,iso2k_1554,1.0,0.0
45,46,ch2k_KU00NIN01_150,iso2k_1554,1.0,0.0
