# Decisions for duplicate candidate pairs. 
# Modified by Michael Neil Evans (MNE)
# E-Mail: mnevans@umd.edu
# Modified on: 2024-11-30 00:31:16.068691 (UTC)
index 1,index 2,figure path,datasetId 1,datasetId 2,originalDatabase 1,originalDatabase 2,geo_siteName 1,geo_siteName 2,geo_meanLat 1,geo_meanLat 2,geo_meanLon 1,geo_meanLon 2,geo_meanElevation 1,geo_meanElevation 2,archiveType 1,archiveType 2,paleoData_proxy 1,paleoData_proxy 2,originalDataURL 1,originalDataURL 2,year 1,year 2,Decision 1,Decision 2,Decision type,Decision comment
0,3027,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/dod2k/dup_detection/000_pages2k_NAm_3004_FE23_northamerica_usa_nv512__0_3027.jpg,pages2k_NAm_3004,FE23_northamerica_usa_nv512,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),FE23 (Breitenmoser et al. (2014)),Pearl Peak,PearlPeak,40.20000076293945,40.233333587646484,-115.5,-115.53333282470703,3170.0,3170.0,tree,tree,TRW,TRW,https://www.ncdc.noaa.gov/paleo/study/3395,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/nv512.rwl,320.0-1985.0,850.0-1985.0,REMOVE,KEEP,MANUAL,choose FE23 with n>=8 replicates
9,2871,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/dod2k/dup_detection/001_pages2k_NAm_2740_FE23_northamerica_usa_mt108__9_2871.jpg,pages2k_NAm_2740,FE23_northamerica_usa_mt108,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),FE23 (Breitenmoser et al. (2014)),Highland Fire Outlook,HighlandFireOutlook,45.79999923706055,45.75,-112.5,-112.53333282470703,2730.0,2730.0,tree,tree,TRW,TRW,https://www.ncdc.noaa.gov/paleo/study/2822,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/mt108.rwl,1496.0-1983.0,1619.0-1983.0,REMOVE,KEEP,MANUAL,choose FE23 with n>=8 replicates
11,3729,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/dod2k/dup_detection/002_pages2k_Ocean2kHR_142_iso2k_CO04BAFI00A__11_3729.jpg,pages2k_Ocean2kHR_142,iso2k_CO04BAFI00A,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),Iso2k v1.0.1,"Savusavu Bay, Fiji","Savusavu Bay, Fiji",-16.81999969482422,-16.816699981689453,179.22999572753906,179.23330688476562,-2.0,-2.0,coral,coral,d18O,d18O,https://www.ncdc.noaa.gov/paleo/study/1916,https://www.ncdc.noaa.gov/paleo/study/1881,1776.0-2001.0,1940.0-2000.0,KEEP,REMOVE,MANUAL,keep p2k time composite
11,3738,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/dod2k/dup_detection/003_pages2k_Ocean2kHR_142_iso2k_Ocean2kHR_142__11_3738.jpg,pages2k_Ocean2kHR_142,iso2k_Ocean2kHR_142,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),Iso2k v1.0.1,"Savusavu Bay, Fiji","Savusavu Bay, Fiji",-16.81999969482422,-16.816699981689453,179.22999572753906,179.23330688476562,-2.0,-2.0,coral,coral,d18O,d18O,https://www.ncdc.noaa.gov/paleo/study/1916,https://www.ncdc.noaa.gov/paleo/study/1916,1776.0-2001.0,1776.0-2001.0,KEEP,REMOVE,AUTO: IDENTICAL,RECORDS IDENTICAL (identical data). Automatically choose #1.
20,3837,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/dod2k/dup_detection/004_pages2k_Ant_006_iso2k_IC02GR0701A__20_3837.jpg,pages2k_Ant_006,iso2k_IC02GR0701A,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),Iso2k v1.0.1,Site DML07,B31Site DML07,-75.58000183105469,-75.58000183105469,-3.430000066757202,-3.430000066757202,2680.0,2669.0,glacier ice,glacier ice,d18O,d18O,https://doi.pangaea.de/10.1594/PANGAEA.104882,https://doi.pangaea.de/10.1594/pangaea.104882,1000.0-1994.0,1000.0-1994.0,REMOVE,KEEP,MANUAL,keep iso2k version
23,3856,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/dod2k/dup_detection/005_pages2k_Ant_010_iso2k_IC08HODF02A__23_3856.jpg,pages2k_Ant_010,iso2k_IC08HODF02A,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),Iso2k v1.0.1,Dome F 2001,Dome F 2001,-77.31999969482422,-77.31999969482422,39.70000076293945,39.70000076293945,3810.0,3810.0,glacier ice,glacier ice,d18O,d18O,this study,https://www.ncdc.noaa.gov/paleo-search/study/13121,695.0-1875.0,695.0-1875.0,KEEP,REMOVE,AUTO: IDENTICAL except for URLs and/or geo_siteName.,RECORDS IDENTICAL (perfect correlation) except for URLs and/or site Name. Automatically choose #1.
32,3732,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/dod2k/dup_detection/006_pages2k_Ocean2kHR_147_iso2k_CO04LIRA01A__32_3732.jpg,pages2k_Ocean2kHR_147,iso2k_CO04LIRA01A,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),Iso2k v1.0.1,Rarotonga,"Rarotonga, Cook Islands, South Pacific",-21.23780059814453,-21.23780059814453,-159.8278045654297,-159.8278045654297,-18.3,-18.3,coral,coral,d18O,d18O,"http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:964510793893801::::P1_STUDY_ID:6089,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/rarotonga2006.txt",https://www.ncdc.noaa.gov/paleo/study/6089,1726.8-1996.9,1726.8-1996.9,KEEP,REMOVE,AUTO: IDENTICAL except for URLs and/or geo_siteName.,RECORDS IDENTICAL (identical data) except for URLs and/or site Name. Automatically choose #1.
35,2878,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/dod2k/dup_detection/007_pages2k_NAm_2812_FE23_northamerica_usa_mt116__35_2878.jpg,pages2k_NAm_2812,FE23_northamerica_usa_mt116,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),FE23 (Breitenmoser et al. (2014)),Flint Creek Range,FlintCreekRange,46.29999923706055,46.28333282470703,-113.19999694824219,-113.1500015258789,2645.0,2645.0,tree,tree,TRW,TRW,https://www.ncdc.noaa.gov/paleo/study/3566,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/mt116.rwl,999.0-1998.0,1083.0-1998.0,REMOVE,KEEP,MANUAL,choose FE23 with n>=8 replicates
36,3794,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/dod2k/dup_detection/008_pages2k_Ocean2kHR_118_iso2k_CO96SWBB01A__36_3794.jpg,pages2k_Ocean2kHR_118,iso2k_CO96SWBB01A,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),Iso2k v1.0.1,Biscayne Bay,"Alinas Reef, Biscayne National Park, Florida",25.3799991607666,25.390300750732422,-80.16999816894531,-80.17150115966797,-10.0,-10.0,coral,coral,d18O,d18O,https://www.ncdc.noaa.gov/paleo/study/1885,https://www.ncdc.noaa.gov/paleo/study/1885,1751.0-1986.0,1751.0-1986.0,KEEP,REMOVE,AUTO: IDENTICAL except for URLs and/or geo_siteName.,RECORDS IDENTICAL (identical data) except for URLs and/or site Name. Automatically choose #1.
38,3808,https://nzero.umd.edu:444/hub/user-redirect/lab/tree/compile_proxy_database_v2.1/dod2k/dup_detection/009_pages2k_Ant_023_iso2k_IC00COPR01A__38_3808.jpg,pages2k_Ant_023,iso2k_IC00COPR01A,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),Iso2k v1.0.1,Plateau Remote,Plateau Remote,-84.0,-84.0,43.0,43.0,3330.0,3330.0,glacier ice,glacier ice,d18O,d18O,this study,https://www.ncdc.noaa.gov/paleo-search/study/22479,2.0-1986.0,2.0-1986.0,KEEP,REMOVE,AUTO: IDENTICAL except for URLs and/or geo_siteName.,RECORDS IDENTICAL (perfect correlation) except for URLs and/or site Name. Automatically choose #1.
