index 1,index 2,ID 1,ID 2,correlation,distance (km)
0,3027,pages2k_NAm_3004,FE23_northamerica_usa_nv512,0.9654504918783551,4.66349518850797
9,2871,pages2k_NAm_2740,FE23_northamerica_usa_mt108,0.9782486241361592,6.131312678586471
11,3729,pages2k_Ocean2kHR_142,iso2k_CO04BAFI00A,0.9997675035800243,0.5087587517215614
11,3738,pages2k_Ocean2kHR_142,iso2k_Ocean2kHR_142,0.9999999999999999,0.5087587517215614
20,3837,pages2k_Ant_006,iso2k_IC02GR0701A,1.0,0.0
23,3856,pages2k_Ant_010,iso2k_IC08HODF02A,0.999999907597956,0.0
32,3732,pages2k_Ocean2kHR_147,iso2k_CO04LIRA01A,1.0,0.0
35,2878,pages2k_NAm_2812,FE23_northamerica_usa_mt116,0.9940277703282503,4.265038441214223
36,3794,pages2k_Ocean2kHR_118,iso2k_CO96SWBB01A,1.0,1.1553943531955169
38,3808,pages2k_Ant_023,iso2k_IC00COPR01A,0.9999999998644115,0.0
42,4165,pages2k_Ocean2kHR_128,iso2k_Ocean2kHR_128,1.0,148.4305560876104
47,3663,pages2k_Ocean2kHR_022,ch2k_ZI14TUR01480_217,1.0,0.0
47,3664,pages2k_Ocean2kHR_022,ch2k_ZI14TUR01482_218,1.0,0.0
47,3771,pages2k_Ocean2kHR_022,iso2k_Ocean2kHR_022,0.9999999994579302,0.0
50,2479,pages2k_NAm_772,FE23_northamerica_usa_ca603,0.957962036670777,3.4621315803107966
52,3795,pages2k_Ocean2kHR_116,iso2k_CO96SWFB01A,1.0,1.4788881660628725
68,3865,pages2k_Arc_031,iso2k_IC09KANG01A,1.0,0.0
75,967,pages2k_NAm_1396,FE23_northamerica_canada_cana153,0.996675589148305,3.775253335744946
81,2603,pages2k_NAm_2476,FE23_northamerica_usa_co553,0.9848164514971338,4.686190390758007
86,3481,pages2k_Ocean2kHR_007,ch2k_DA06MAF0178_35,1.0,0.0
86,3494,pages2k_Ocean2kHR_007,ch2k_DA06MAF02104_48,1.0,0.0
86,3740,pages2k_Ocean2kHR_007,iso2k_Ocean2kHR_007,1.0,0.0
88,845,pages2k_NAm_916,FE23_northamerica_canada_cana002,0.980212847340203,3.8321240746850656
90,3458,pages2k_Ocean2kHR_172,ch2k_TU95MAD0124_12,0.9999999999999999,0.0
90,3792,pages2k_Ocean2kHR_172,iso2k_Ocean2kHR_172,0.9999999999999999,0.0
92,2485,pages2k_NAm_808,FE23_northamerica_usa_ca609,0.9741227085165554,1.8532231170308289
95,3931,pages2k_Arc_011,iso2k_IC97GRGI01A,1.0,57.372063007387354
98,3930,pages2k_Ant_024,iso2k_IC96MOSS01A,1.0,0.0
108,4145,pages2k_NAm_3870,iso2k_SP12ERUS01A,1.0,1.818967049399386
108,4492,pages2k_NAm_3870,sisal_294.0_194,1.0,1.8290844982587682
109,1743,pages2k_Asia_162,FE23_asia_mong006,0.9987646516935693,0.37072945852236205
114,4250,pages2k_Ant_027,iso2k_IC11BEVL01A,0.9999999999444483,0.08120329462182123
116,3588,pages2k_Ocean2kHR_164,ch2k_FE09OGA01306_142,1.0,0.0
117,3587,pages2k_Ocean2kHR_163,ch2k_FE09OGA01304_141,1.0,0.0
120,3797,pages2k_Ocean2kHR_132,iso2k_Ocean2kHR_132,0.9999999999999998,0.0
124,1714,pages2k_NAm_2716,FE23_northamerica_mexico_mexi020,0.9991748202674907,3.706446234062073
125,3855,pages2k_Ant_009,iso2k_IC07KADF01A,1.0,0.0
126,3898,pages2k_Ant_050,iso2k_IC13ST2401A,0.9999999999999999,0.0
129,3839,pages2k_Arc_099d18O,iso2k_IC02HEWD01A,0.9999999999999999,37.48760288951003
134,3715,pages2k_Ocean2kHR_011,ch2k_CH97BVB01602_269,1.0,90.55257967754069
134,3796,pages2k_Ocean2kHR_011,iso2k_Ocean2kHR_011,1.0,47.063375478865744
136,2205,pages2k_NAm_484,FE23_northamerica_usa_ak6,0.9731445668448404,3.840937938296045
