,geo_meanLat,geo_meanLon,paleoData_values
0,32.58,35.03,-5.25
1,44.8333,-92.25,-6.63057
2,25.28,108.08,-7.9
3,32.083,-105.1667,-4.14
4,30.45,110.416,-8.01465
5,33.3,105.0,-8.204419
6,41.416,31.934,-8.3175
7,-8.533,120.433,-6.06
8,20.75,-89.47,-5.4228573
9,64.89,14.16,-9.3714
10,46.95,10.55,-9.241177
11,47.09,11.67,-7.4558496
12,16.2086,-89.0735,-3.2775
13,17.4,-99.2,-8.09298
14,32.1,-104.26,-5.097
15,-8.533,120.433,-6.205
16,-11.27,-75.79,-12.891667
17,17.4,-99.2,-8.482716
18,36.57,-118.78,-8.922916
19,-15.5,167.0,-5.961887
20,-24.0,29.18,0.28760824
21,42.9,-3.5,0.4377778
22,-15.2002,-56.7839,-7.7164702
23,33.133,106.3,-7.1427784
24,37.89,-115.58,-11.145263
25,66.0,14.0,-6.616679
26,-12.3495,-41.6038,-3.2366865
27,25.25,91.8667,-5.4190264
28,29.2289,107.9036,-6.27625
29,16.883,-89.108,-4.0750003
30,-15.53,46.88,-5.371252
31,-15.53,46.88,-5.2652698
32,-12.3344,-41.6043,-3.5611498
33,-8.53,120.43,-6.296667
34,16.2086,-89.0735,-3.2948723
35,-4.0667,-55.45,-6.038572
36,16.2086,-89.0735,-3.9704053
37,-8.53,120.43,-6.201072
38,-8.53,120.43,-6.2
39,4.03,114.8,-9.085584
40,51.3675,7.6647,-6.1025
41,43.32,-3.59,-5.146162
42,37.98,-80.4,-6.47
43,17.4,-99.2,-8.093365
44,54.15,56.85,-10.86
45,4.02,114.48,-9.16
46,18.8667,81.8667,-4.5050907
47,33.5667,109.1,-8.115
48,45.43,0.78,-4.5236535
49,-15.3,128.62,-8.0654
50,15.15,77.92,-6.0554185
51,15.15,77.92,-5.3287897
52,18.0,-67.0,-2.3631945
53,45.1,22.8,-8.577778
54,-9.489,159.974,-7.4190383
55,-9.489,159.974,-7.474629
56,29.48,109.5333,-3.9895577
57,-13.81,-46.35,-4.2078257
58,-5.7,-77.9,-6.11785
59,16.5,-89.0,-3.0841668
60,25.2833,108.0833,-7.2200003
61,22.38,-83.97,-5.1863637
62,-21.083,-56.583,-4.8919997
63,25.2622,91.8817,-4.835597
64,-24.0,29.1833,-2.901723
65,33.9558,-4.2461,-5.123314
66,29.5,115.5,-7.483291
67,-24.0,29.1833,-3.250966
68,-24.0,29.1833,-2.9232895
69,32.1,-104.26,-5.097017
70,28.333,103.1,-8.617561
71,33.82,105.43,-7.359232
72,33.82,105.43,-7.93825
73,12.5866,54.3543,-2.0030444
74,12.5866,54.3543,-2.5834901
75,12.5866,54.3543,-2.0695326
76,40.4498,39.5365,-10.740596
77,35.8,45.1645,-3.8733222
78,36.59,-118.82,-8.981225
79,33.9558,-4.2461,-5.1649995
80,33.9558,-4.2461,-5.5503225
81,42.87,81.75,-7.306667
82,43.4306,-3.6658,-3.929563
83,-41.95,171.47,-3.4774969
84,-35.07,148.66,-4.975314
85,-32.617,148.94,-3.8678365
86,-11.6822,-60.6431,-6.8643475
87,33.5833,105.1167,-7.73
88,-34.083,115.05,-4.19253
89,-34.083,115.05,-3.8773634
90,-34.083,115.05,-4.588
91,-34.083,115.05,-4.282077
92,-35.7,148.5,-5.798258
93,-35.7,148.5,-5.564515
94,-35.7,148.5,-5.3489246
95,33.5833,105.1167,-9.0812
96,30.708,-9.3275,-3.3
97,35.09,45.38,-6.0458617
98,-19.7572,63.3703,-4.3710003
99,45.8188,15.6783,-8.311501
100,30.77,-9.49,-5.199667
101,-31.547,115.69,-3.5721698
102,51.3675,7.6647,-5.6027317
103,37.2325,30.7117,-3.6844444
104,30.6,77.8667,-8.766185
105,67.0,15.0,-7.062788
106,-16.0,-47.0,-5.61
