archiveType,climateInterpretation_variable,climateInterpretation_variableDetail,dataSetName,datasetId,geo_meanElev,geo_meanLat,geo_meanLon,geo_siteName,originalDataURL,originalDatabase,paleoData_notes,paleoData_proxy,paleoData_sensorSpecies,paleoData_units,yearUnits
tree,N/A,N/A,africa_keny001,FE23_africa_keny001,2010.0,-0.5833333333333334,37.05,RagatiForestStationNyeriDistrict,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/keny001.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Stahle,TRW,VIKE,standardized_anomalies,CE
tree,N/A,N/A,africa_keny002,FE23_africa_keny002,2010.0,-0.5833333333333334,37.05,RagatiForestStationNyeriDistrict,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/keny002.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Stahle,TRW,PRMA,standardized_anomalies,CE
tree,moisture,N/A,africa_morc001,FE23_africa_morc001,2200.0,32.416666666666664,-5.25,Tounfite,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/morc001.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Stockton,TRW,CDAT,standardized_anomalies,CE
tree,N/A,N/A,africa_morc002,FE23_africa_morc002,1700.0,35.03333333333333,-4.833333333333333,Afechtal,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/morc002.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Stockton,TRW,CDAT,standardized_anomalies,CE
tree,N/A,N/A,africa_morc003,FE23_africa_morc003,2200.0,32.38333333333333,-5.6,Ta'Adlount,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/morc003.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Stockton,TRW,CDAT,standardized_anomalies,CE
tree,moisture,N/A,africa_morc011,FE23_africa_morc011,1900.0,33.45,-5.033333333333333,Ifrane,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/morc011.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Chbouki,TRW,CDAT,standardized_anomalies,CE
tree,N/A,N/A,africa_morc012,FE23_africa_morc012,1700.0,35.11666666666667,-5.1,Tissouka,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/morc012.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Chbouki,TRW,CDAT,standardized_anomalies,CE
tree,N/A,N/A,africa_morc013,FE23_africa_morc013,1900.0,34.083333333333336,-4.183333333333334,Tazzeka,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/morc013.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Chbouki,TRW,CDAT,standardized_anomalies,CE
tree,N/A,N/A,africa_morc014,FE23_africa_morc014,2200.0,33.016666666666666,-5.066666666666666,ColduZad,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/morc014.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Stockton,TRW,CDAT,standardized_anomalies,CE
tree,N/A,N/A,africa_safr001,FE23_africa_safr001,1330.0,-32.4,19.216666666666665,DieBos,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/safr001.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Lamarche,TRW,WICE,standardized_anomalies,CE
