archiveType,climateInterpretation_variable,climateInterpretation_variableDetail,dataSetName,datasetId,geo_meanElev,geo_meanLat,geo_meanLon,geo_siteName,originalDataURL,originalDatabase,paleoData_notes,paleoData_proxy,paleoData_sensorSpecies,paleoData_units,yearUnits
coral,temperature+moisture,temperature and salinity,CO00COKY,iso2k_Ocean2kHR_001,-6.0,-3.2555999755859375,40.1432991027832,Malindi Marine Park,https://www.ncdc.noaa.gov/paleo/study/1855,Iso2k v1.0.1,; climateInterpretation_seasonality changed - was originally -12 -11 1 2 3 4 5 6 7 8 9 10; archiveType changed - was originally Coral (CO),d18O,Porites lutea,permil,CE
coral,temperature,T,CO00DRBE,iso2k_Ocean2kHR_124,-25.0,32.29999923706055,-64.69999694824219,"Northeast Breakers, Bermuda",http://doi.pangaea.de/10.1594/pangaea.711835,Iso2k v1.0.1,; climateInterpretation_seasonality changed - was originally -12 -11 -10 -9 -8 1 2 3 4 5 6 7; archiveType changed - was originally Coral (CO),d18O,labyrinthiformis,permil,CE
coral,temperature,T,CO00FERA,iso2k_Ocean2kHR_019,-6.0,27.850000381469727,34.31999969482422,"Ras Umm Sidd, Red Sea",https://www.ncdc.noaa.gov/paleo/study/1861,Iso2k v1.0.1,; climateInterpretation_seasonality changed - was originally bimonthly; archiveType changed - was originally Coral (CO),d18O,NA,permil,CE
coral,temperature,T_water,CO00KUNI,iso2k_CO00KUNI01Ab,-3.0,-21.905000686645508,113.96499633789062,"Ningaloo Reef, West Australia",https://www.ncdc.noaa.gov/paleo/study/1867,Iso2k v1.0.1,; archiveType changed - was originally Coral (CO),d18O,NULL,permil,CE
coral,temperature+moisture,temperature and salinity,CO00URMA,iso2k_Ocean2kHR_177,6.0,0.9330000281333923,173.0,"Maiana Atoll, Republic of Kiribati",https://www.ncdc.noaa.gov/paleo/study/1859,Iso2k v1.0.1,; climateInterpretation_seasonality changed  was originally bimonthly; archiveType changed  was originally Coral (CO); archiveType changed  was originally Coral (CO),d18O,Porites,permil,CE
coral,temperature+moisture,temperature and salinity,CO01TUNG,iso2k_Ocean2kHR_140,-3.0,-5.2170000076293945,145.81700134277344,"Deplik Tabat Reef, Madang Lagoon",https://www.ncdc.noaa.gov/paleo/study/1866,Iso2k v1.0.1,; climateInterpretation_seasonality changed - was originally seasonal; archiveType changed - was originally Coral (CO); archiveType changed - was originally Coral (CO),d18O,NULL,permil,CE
coral,temperature+moisture,temperature and salinity,CO01TUNG,iso2k_Ocean2kHR_141,-3.0,-5.2170000076293945,145.81700134277344,"Deplik Tabat Reef, Madang Lagoon",https://www.ncdc.noaa.gov/paleo/study/1866,Iso2k v1.0.1,; climateInterpretation_seasonality changed - was originally seasonal; archiveType changed - was originally Coral (CO); archiveType changed - was originally Coral (CO),d18O,NULL,permil,CE
coral,temperature,T,CO02KUBE,iso2k_Ocean2kHR_102,-11.0,32.470001220703125,-64.69999694824219,"North East Breakers, Bermuda",https://www.ncdc.noaa.gov/paleo/study/1872,Iso2k v1.0.1,; climateInterpretation_seasonality changed - was originally monthly; archiveType changed - was originally Coral (CO),d18O,Diploria strigosa,permil,CE
coral,temperature+moisture,temperature and salinity,CO03CHBA,iso2k_Ocean2kHR_006,-3.0,-8.25730037689209,115.57569885253906,"Lombok Strait, Bali, Indonesia",https://www.ncdc.noaa.gov/paleo/study/1903,Iso2k v1.0.1,; climateInterpretation_seasonality changed - was originally monthly; archiveType changed - was originally Coral (CO),d18O,NA,permil,CE
coral,temperature+moisture,temperature and salinity,CO03CHBU,iso2k_Ocean2kHR_171,-3.0,-1.5,124.83300018310547,Bunaken Island,https://www.ncdc.noaa.gov/paleo/study/1903,Iso2k v1.0.1,; climateInterpretation_seasonality changed - was originally monthly; archiveType changed - was originally Coral (CO),d18O,Porites,permil,CE
