archiveType,climateInterpretation_variable,climateInterpretation_variableDetail,dataSetName,datasetId,geo_meanElev,geo_meanLat,geo_meanLon,geo_siteName,originalDataURL,originalDatabase,paleoData_notes,paleoData_proxy,paleoData_sensorSpecies,paleoData_units,yearUnits
tree,temperature,air@surface,NAm-nv512,pages2k_NAm_3004,3170.0,40.2,-115.5,Pearl Peak,https://www.ncdc.noaa.gov/paleo/study/3395,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,PILO,N/A,CE
marine sediment,temperature,sea@surface,O2kLR-MakassarStrait-MD98-2177.Newton.2011,pages2k_LPD30c5b95c,-968.0,1.4033,119.078,Makassar Strait,https://www.ncdc.noaa.gov/paleo/study/12906,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; paleoData_variableName changed - was originally temp_C; paleoData_units changed - was originally deg C; climateInterpretation_seasonality changed - was originally Annual,foram Mg/Ca,N/A,degC,CE
lake sediment,temperature,air@surface,NAm-Little_Pine_L,pages2k_NAm_3819,330.0,45.3,-91.5,LittlePine Lake,https://www.ncdc.noaa.gov/paleo/study/6221,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally July,pollen,N/A,degC,CE
tree,temperature,air@surface,Asia-QAMDJT,pages2k_Asia_221,3150.0,31.12,97.03,CHIN046,https://www.ncdc.noaa.gov/paleo/study/15128,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
tree,temperature,air@surface,Asia-ONONLS,pages2k_Asia_153,1700.0,48.83,111.68,MONG028,https://www.ncdc.noaa.gov/paleo/study/12652,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
tree,temperature,air@surface,Asia-GOUQIN,pages2k_Asia_044,1750.0,34.73,100.8,GOUQIN,https://www.ncdc.noaa.gov/paleo/study/14188,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
tree,temperature,air@surface,Asia-SHIYAT,pages2k_Asia_130,0.0,39.83,71.5,SHIYAT,https://www.ncdc.noaa.gov/paleo/study/14188,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
tree,temperature,air@surface,NAm-cana352,pages2k_NAm_1852,2300.0,50.8,-115.3,French Glacier,https://www.ncdc.noaa.gov/paleo/study/13783,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,LALY,N/A,CE
tree,temperature,air@surface,NAm-mt119,pages2k_NAm_2824,2700.0,46.0,-113.4,Pintlers,https://www.ncdc.noaa.gov/paleo/study/12696,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,LALY,N/A,CE
tree,temperature,air@surface,NAm-mt108,pages2k_NAm_2740,2730.0,45.8,-112.5,Highland Fire Outlook,https://www.ncdc.noaa.gov/paleo/study/2822,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,PCEN,N/A,CE
