archiveType,climateInterpretation_variable,climateInterpretation_variableDetail,dataSetName,datasetId,geo_meanElev,geo_meanLat,geo_meanLon,geo_siteName,originalDataURL,originalDatabase,paleoData_notes,paleoData_proxy,paleoData_sensorSpecies,paleoData_units,yearUnits
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Bittoo cave,sisal_9.0_0,3000.0,30.7903,77.7764,Bittoo cave,10.1038/srep24374,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Bittoo cave,sisal_9.0_1,3000.0,30.7903,77.7764,Bittoo cave,10.1038/srep24374,SISAL v3,calcite,d13C,N/A,permil,CE
speleothem,N/A,N/A,Bittoo cave,sisal_9.0_2,3000.0,30.7903,77.7764,Bittoo cave,10.1038/srep24374,SISAL v3,calcite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Kesang cave,sisal_19.0_3,2000.0,42.87,81.75,Kesang cave,10.1038/srep36975,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Kesang cave,sisal_19.0_4,2000.0,42.87,81.75,Kesang cave,10.1038/srep36975,SISAL v3,calcite,d13C,N/A,permil,CE
speleothem,N/A,N/A,Kesang cave,sisal_19.0_5,2000.0,42.87,81.75,Kesang cave,10.1038/srep36975,SISAL v3,calcite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Paraiso cave,sisal_20.0_6,60.0,-4.0667,-55.45,Paraiso cave,10.1038/nature20787,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Paraiso cave,sisal_20.0_7,60.0,-4.0667,-55.45,Paraiso cave,10.1038/nature20787,SISAL v3,calcite,d13C,N/A,permil,CE
speleothem,N/A,N/A,Paraiso cave,sisal_20.0_8,60.0,-4.0667,-55.45,Paraiso cave,10.1038/nature20787,SISAL v3,calcite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Paraiso cave,sisal_21.0_9,60.0,-4.0667,-55.45,Paraiso cave,10.1038/nature20787,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Paraiso cave,sisal_21.0_10,60.0,-4.0667,-55.45,Paraiso cave,10.1038/nature20787,SISAL v3,calcite,d13C,N/A,permil,CE
speleothem,N/A,N/A,Paraiso cave,sisal_21.0_11,60.0,-4.0667,-55.45,Paraiso cave,10.1038/nature20787,SISAL v3,calcite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Villars cave,sisal_33.0_12,175.0,45.43,0.78,Villars cave,10.1016/j.quascirev.2014.12.021,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Villars cave,sisal_33.0_13,175.0,45.43,0.78,Villars cave,10.1016/j.quascirev.2014.12.021,SISAL v3,calcite,d13C,N/A,permil,CE
speleothem,N/A,N/A,Villars cave,sisal_33.0_14,175.0,45.43,0.78,Villars cave,10.1016/j.quascirev.2014.12.021,SISAL v3,calcite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Cold Air cave,sisal_45.0_15,1420.0,-24.0,29.1833,Cold Air cave,10.1016/s0031-0182(98)00223-5,SISAL v3,aragonite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Cold Air cave,sisal_45.0_16,1420.0,-24.0,29.1833,Cold Air cave,10.1016/s0031-0182(98)00223-5,SISAL v3,aragonite,d13C,N/A,permil,CE
speleothem,N/A,N/A,Cold Air cave,sisal_45.0_17,1420.0,-24.0,29.1833,Cold Air cave,10.1016/s0031-0182(98)00223-5,SISAL v3,aragonite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Cold Air cave,sisal_46.0_18,1420.0,-24.0,29.1833,Cold Air cave,10.1191/095968399672625464,SISAL v3,aragonite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Cold Air cave,sisal_46.0_19,1420.0,-24.0,29.1833,Cold Air cave,10.1191/095968399672625464,SISAL v3,aragonite,d13C,N/A,permil,CE
speleothem,N/A,N/A,Cold Air cave,sisal_46.0_20,1420.0,-24.0,29.1833,Cold Air cave,10.1191/095968399672625464,SISAL v3,aragonite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Cold Air cave,sisal_47.0_21,1420.0,-24.0,29.1833,Cold Air cave,10.1029/2000gl012728,SISAL v3,aragonite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Cold Air cave,sisal_47.0_22,1420.0,-24.0,29.1833,Cold Air cave,10.1029/2000gl012728,SISAL v3,aragonite,d13C,N/A,permil,CE
speleothem,N/A,N/A,Cold Air cave,sisal_47.0_23,1420.0,-24.0,29.1833,Cold Air cave,10.1029/2000gl012728,SISAL v3,aragonite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Cold Air cave,sisal_48.0_24,1420.0,-24.0,29.1833,Cold Air cave,10.1016/s0277-3791(03)00204-x,SISAL v3,aragonite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Cold Air cave,sisal_48.0_25,1420.0,-24.0,29.1833,Cold Air cave,10.1016/s0277-3791(03)00204-x,SISAL v3,aragonite,d13C,N/A,permil,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Cold Air cave,sisal_49.0_26,1420.0,-24.0,29.1833,Cold Air cave,10.1038/srep01767,SISAL v3,aragonite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Cold Air cave,sisal_49.0_27,1420.0,-24.0,29.1833,Cold Air cave,10.1038/srep01767,SISAL v3,aragonite,d13C,N/A,permil,CE
speleothem,N/A,N/A,Cold Air cave,sisal_49.0_28,1420.0,-24.0,29.1833,Cold Air cave,10.1038/srep01767,SISAL v3,aragonite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Lancaster Hole,sisal_51.0_29,294.0,54.2209,-2.5168,Lancaster Hole,unpublished,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Lancaster Hole,sisal_51.0_30,294.0,54.2209,-2.5168,Lancaster Hole,unpublished,SISAL v3,calcite,d13C,N/A,permil,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Jeita cave,sisal_58.0_31,100.0,33.95,35.65,Jeita cave,10.1002/2015gl065397,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Jeita cave,sisal_58.0_32,100.0,33.95,35.65,Jeita cave,10.1002/2015gl065397,SISAL v3,calcite,d13C,N/A,permil,CE
speleothem,N/A,N/A,Jeita cave,sisal_58.0_33,100.0,33.95,35.65,Jeita cave,10.1002/2015gl065397,SISAL v3,calcite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Jeita cave,sisal_60.0_34,100.0,33.95,35.65,Jeita cave,10.1002/2015gl065397,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Jeita cave,sisal_60.0_35,100.0,33.95,35.65,Jeita cave,10.1002/2015gl065397,SISAL v3,calcite,d13C,N/A,permil,CE
speleothem,N/A,N/A,Jeita cave,sisal_60.0_36,100.0,33.95,35.65,Jeita cave,10.1002/2015gl065397,SISAL v3,calcite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Huangye cave,sisal_76.0_37,1650.0,33.5833,105.1167,Huangye cave,10.1177/0959683610378880,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Huangye cave,sisal_76.0_38,1650.0,33.5833,105.1167,Huangye cave,10.1177/0959683610378880,SISAL v3,calcite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Huangye cave,sisal_77.0_39,1650.0,33.5833,105.1167,Huangye cave,10.1177/0959683610378880,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Huangye cave,sisal_77.0_40,1650.0,33.5833,105.1167,Huangye cave,10.1177/0959683610378880,SISAL v3,calcite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Huangye cave,sisal_78.0_41,1650.0,33.5833,105.1167,Huangye cave,10.1177/0959683610378880,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Huangye cave,sisal_78.0_42,1650.0,33.5833,105.1167,Huangye cave,10.1177/0959683610378880,SISAL v3,calcite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Lapa grande cave,sisal_90.0_43,590.0,-14.37,-44.28,Lapa grande cave,10.1130/g32098.1,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Lapa grande cave,sisal_90.0_44,590.0,-14.37,-44.28,Lapa grande cave,10.1130/g32098.1,SISAL v3,calcite,d13C,N/A,permil,CE
speleothem,N/A,N/A,Lapa grande cave,sisal_90.0_45,590.0,-14.37,-44.28,Lapa grande cave,10.1130/g32098.1,SISAL v3,calcite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Palestina cave,sisal_93.0_46,870.0,-5.92,-77.35,Palestina cave,10.5194/cp-10-1967-2014,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Palestina cave,sisal_93.0_47,870.0,-5.92,-77.35,Palestina cave,10.5194/cp-10-1967-2014,SISAL v3,calcite,d13C,N/A,permil,CE
speleothem,N/A,N/A,Palestina cave,sisal_93.0_48,870.0,-5.92,-77.35,Palestina cave,10.5194/cp-10-1967-2014,SISAL v3,calcite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Palestina cave,sisal_94.0_49,870.0,-5.92,-77.35,Palestina cave,10.5194/cp-10-1967-2014,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Palestina cave,sisal_94.0_50,870.0,-5.92,-77.35,Palestina cave,10.5194/cp-10-1967-2014,SISAL v3,calcite,d13C,N/A,permil,CE
speleothem,N/A,N/A,Palestina cave,sisal_94.0_51,870.0,-5.92,-77.35,Palestina cave,10.5194/cp-10-1967-2014,SISAL v3,calcite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Okshola cave,sisal_95.0_52,165.0,67.0,15.0,Okshola cave,10.5194/cp-5-667-2009,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Okshola cave,sisal_95.0_53,165.0,67.0,15.0,Okshola cave,10.5194/cp-5-667-2009,SISAL v3,calcite,d13C,N/A,permil,CE
speleothem,N/A,N/A,Okshola cave,sisal_95.0_54,165.0,67.0,15.0,Okshola cave,10.5194/cp-5-667-2009,SISAL v3,calcite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Tamboril cave,sisal_97.0_55,200.0,-16.0,-47.0,Tamboril cave,10.1016/j.epsl.2017.01.034,SISAL v3,aragonite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Tamboril cave,sisal_97.0_56,200.0,-16.0,-47.0,Tamboril cave,10.1016/j.epsl.2017.01.034,SISAL v3,aragonite,d13C,N/A,permil,CE
speleothem,N/A,N/A,Tamboril cave,sisal_97.0_57,200.0,-16.0,-47.0,Tamboril cave,10.1016/j.epsl.2017.01.034,SISAL v3,aragonite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Anjokipoty,sisal_107.0_58,43.0,-15.5784,46.7344,Anjokipoty,10.5194/cp-2016-137,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Anjokipoty,sisal_107.0_59,43.0,-15.5784,46.7344,Anjokipoty,10.5194/cp-2016-137,SISAL v3,calcite,d13C,N/A,permil,CE
speleothem,N/A,N/A,Anjokipoty,sisal_107.0_60,43.0,-15.5784,46.7344,Anjokipoty,10.5194/cp-2016-137,SISAL v3,calcite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Curupira cave,sisal_110.0_61,420.0,-15.2002,-56.7839,Curupira cave,10.1038/srep24762,SISAL v3,aragonite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Curupira cave,sisal_110.0_62,420.0,-15.2002,-56.7839,Curupira cave,10.1038/srep24762,SISAL v3,aragonite,d13C,N/A,permil,CE
speleothem,N/A,N/A,Curupira cave,sisal_110.0_63,420.0,-15.2002,-56.7839,Curupira cave,10.1038/srep24762,SISAL v3,aragonite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Dayu cave,sisal_111.0_64,870.0,33.133,106.3,Dayu cave,10.1016/j.palaeo.2009.06.030,SISAL v3,aragonite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Dayu cave,sisal_111.0_65,870.0,33.133,106.3,Dayu cave,10.1016/j.palaeo.2009.06.030,SISAL v3,aragonite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Diva cave,sisal_113.0_66,680.0,-12.3819,-41.5733,Diva cave,10.1029/2012gl053936,SISAL v3,mixed,d18O,N/A,permil,CE
speleothem,N/A,N/A,Diva cave,sisal_113.0_67,680.0,-12.3819,-41.5733,Diva cave,10.1029/2012gl053936,SISAL v3,mixed,d13C,N/A,permil,CE
speleothem,N/A,N/A,Diva cave,sisal_113.0_68,680.0,-12.3819,-41.5733,Diva cave,10.1029/2012gl053936,SISAL v3,mixed,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Dongge cave,sisal_115.0_69,680.0,25.2833,108.0833,Dongge cave,10.1126/science.1091220,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Dongge cave,sisal_115.0_70,680.0,25.2833,108.0833,Dongge cave,10.1126/science.1091220,SISAL v3,calcite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Ifoulki cave,sisal_118.0_71,1250.0,30.708,-9.3275,Ifoulki cave,10.1016/j.epsl.2017.07.045,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Ifoulki cave,sisal_118.0_72,1250.0,30.708,-9.3275,Ifoulki cave,10.1016/j.epsl.2017.07.045,SISAL v3,calcite,d13C,N/A,permil,CE
speleothem,N/A,N/A,Ifoulki cave,sisal_118.0_73,1250.0,30.708,-9.3275,Ifoulki cave,10.1016/j.epsl.2017.07.045,SISAL v3,calcite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Kapsia cave,sisal_120.0_74,700.0,37.6233,22.3539,Kapsia cave,10.1016/j.yqres.2013.12.009,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Kapsia cave,sisal_120.0_75,700.0,37.6233,22.3539,Kapsia cave,10.1016/j.yqres.2013.12.009,SISAL v3,calcite,d13C,N/A,permil,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Larshullet cave,sisal_123.0_77,400.0,66.4381,14.1822,Larshullet cave,10.1016/j.quageo.2009.01.009,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Larshullet cave,sisal_123.0_78,400.0,66.4381,14.1822,Larshullet cave,10.1016/j.quageo.2009.01.009,SISAL v3,calcite,d13C,N/A,permil,CE
speleothem,N/A,N/A,Larshullet cave,sisal_123.0_79,400.0,66.4381,14.1822,Larshullet cave,10.1016/j.quageo.2009.01.009,SISAL v3,calcite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Leviathan cave,sisal_124.0_80,2400.0,37.89,-115.58,Leviathan cave,10.1038/ncomms4805,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Leviathan cave,sisal_124.0_81,2400.0,37.89,-115.58,Leviathan cave,10.1038/ncomms4805,SISAL v3,calcite,d13C,N/A,permil,CE
speleothem,N/A,N/A,Leviathan cave,sisal_124.0_82,2400.0,37.89,-115.58,Leviathan cave,10.1038/ncomms4805,SISAL v3,calcite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Natural Bridge caverns,sisal_127.0_83,306.0,29.69,-98.34,Natural Bridge caverns,10.1016/j.quascirev.2015.06.023,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Natural Bridge caverns,sisal_127.0_84,306.0,29.69,-98.34,Natural Bridge caverns,10.1016/j.quascirev.2015.06.023,SISAL v3,calcite,d13C,N/A,permil,CE
speleothem,N/A,N/A,Natural Bridge caverns,sisal_127.0_85,306.0,29.69,-98.34,Natural Bridge caverns,10.1016/j.quascirev.2015.06.023,SISAL v3,calcite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Pau d'Alho cave,sisal_128.0_86,340.0,-15.2055,-56.8,Pau d'Alho cave,10.1038/srep24762,SISAL v3,calcite,d18O,N/A,permil,CE
