"sample_id","Sr_isotopes_measurement","Sr_isotopes_precision"
41464,0.70844,1
41486,0.70838,1
41526,0.70834,2
41647,0.70841,1
41669,0.70842,1
41706,0.70843,1
41758,0.70825,3
74096,0.70837,NA
74101,0.70794,NA
74109,0.70785,NA
74114,0.70798,NA
74125,0.70837,NA
74163,0.70836,NA
74171,0.70838,NA
74182,0.70826,NA
74231,0.7083,NA
74271,0.7081,NA
74302,0.70783,NA
74310,0.70782,NA
74317,0.70865,NA
74335,0.7078,NA
74365,0.70796,NA
74371,0.70791,NA
74375,0.70796,NA
74395,0.70826,NA
79914,0.708172,7e-06
79952,0.708218,7e-06
79958,0.708226,6e-06
79964,0.708217,7e-06
79973,0.70827,7e-06
79991,0.708169,7e-06
80095,0.708197,1.1e-05
80125,0.708377,7e-06
80210,0.708335,9e-06
80318,0.708407,7e-06
80391,0.708371,7e-06
284817,0.70868,1e-05
284822,0.708723,8e-06
284828,0.708724,6e-06
284835,0.708732,1.2e-05
284840,0.70873,7e-06
284846,0.708714,2e-05
284854,0.708675,5e-06
284862,0.708732,6e-06
284866,0.708712,5e-06
284871,0.70873,6e-06
284874,0.708718,9e-06
284878,0.708716,6e-06
284881,0.7087,1e-05
284882,0.708773,7e-06
284886,0.708729,8e-06
284891,0.708743,6e-06
284894,0.708729,6e-06
284921,0.708745,1e-05
284979,0.708746,1e-05
284993,0.708757,7e-06
285010,0.708756,6e-06
285025,0.708757,7e-06
285037,0.708756,9e-06
285050,0.708705,8e-06
285062,0.70873,6e-06
285070,0.708758,1e-05
285074,0.708743,6e-06
285078,0.708734,8e-06
285081,0.708736,6e-06
371615,0.70917,1.3e-05
371735,0.70907,1.3e-05
371901,0.70919,1.3e-05
372015,0.70932,1.4e-05
372067,0.70938,1.4e-05
372266,0.70933,1.3e-05
372355,0.7093,1.3e-05
372485,0.70923,1.3e-05
377533,0.70846,1
377548,0.70846,1
377625,0.70836,3
377699,0.70851,1
377718,0.70852,1
377730,0.70842,3
377808,0.70847,3
414922,0.708263,7e-06
414953,0.708098,7e-06
421180,0.71029,3
421246,0.71014,3
421318,0.7101,3
421360,0.71027,1
421402,0.7102,3
421465,0.71071,9
421510,0.71001,1
421526,0.7102,4
421530,0.70997,3
421551,0.70982,8
421597,0.7098,3
421620,0.71036,14
421653,0.70983,1
421656,0.71104,19
421669,0.70978,2
421672,0.70976,9
421677,0.711,23
421680,0.71139,10
421681,0.70987,1
421683,0.71323,2
421685,0.70993,8
421691,0.70999,8
421720,0.70989,2
421817,0.70985,1
438969,0.708263,1.1e-05
438992,0.708251,1.8e-05
439010,0.708214,7e-06
439014,0.7082675,1e-05
439019,0.708225,6e-06
439023,0.708177,5e-06
439027,0.7081555,7e-06
439043,0.7081365,1.1e-05
439059,0.708217,7e-06
439067,0.708259,2.7e-05
439077,0.708235,2.2e-05
439100,0.708205,8e-06
439164,0.7082085,1.5e-05
439217,0.708338,7e-06
439264,0.708336,0.000109
439282,0.708297,5e-06
439283,0.708301,6e-06
439290,0.708294,5e-06
439298,0.708289,5e-06
439379,0.7083175,7e-06
448683,0.710158134726668,1.53844123070813e-05
448694,0.710132938290786,1.65317870008499e-05
448702,0.710111223237017,1.46856877409696e-05
448712,0.710064422212407,1.55407708880125e-05
448723,0.71004743688918,1.61680105729775e-05
448735,0.710035371965281,1.37664458083859e-05
448806,0.709866856342856,1.61401665596409e-05
448861,0.710078288216899,1.70360776391354e-05
448981,0.710088275249537,1.51865380734647e-05
449033,0.709769688382104,2.21008692137132e-05
449039,0.709681496206462,2.19509197640157e-05
449046,0.709640998569188,2.0099123949357e-05
449068,0.709613104697724,1.60816529881646e-05
449104,0.709660495481308,1.58475827245881e-05
449238,0.709502443907393,1.6630520922194e-05
449450,0.709559772651888,1.95508586261529e-05
449494,0.709569837323895,1.57936378367225e-05
449534,0.709668556756557,1.90782515579013e-05
449621,0.708815404751818,1.88488225555387e-05
449640,0.708957916570271,1.89890752828509e-05
449666,0.708994936311132,2.22948566846214e-05
463273,0.70776,2.2e-05
463285,0.70788,2.6e-05
463286,0.70785,1.4e-05
463299,0.70761,1.4e-05
463315,0.7077,1.39e-05
463323,0.70768,1.21e-05
463329,0.70773,3.2e-05
463351,0.70796,1.7e-05
463355,0.70807,7.13e-06
463369,0.70793,8.15e-06
463388,0.70806,1.17e-05
463405,0.70797,8.24e-06
463418,0.70807,1.22e-05
463448,0.7079,9.11e-06
463459,0.70775,1.26e-05
463486,0.70773,1.84e-05
463531,0.70763,1.54e-05
