"sample_id","U_Ca_measurement","U_Ca_precision"
6768,4e-04,NA
6769,4e-04,NA
6770,5e-04,NA
6771,4e-04,NA
6772,3e-04,NA
6773,3e-04,NA
6774,0.000308333333333329,NA
6775,4e-04,NA
6776,4e-04,NA
6777,4e-04,NA
6778,4e-04,NA
6779,5e-04,NA
6780,0.000309090909090912,NA
6781,0.000350000000000004,NA
6782,4e-04,NA
6783,0.000325,NA
6784,3e-04,NA
6785,3e-04,NA
6786,3e-04,NA
6787,2e-04,NA
6788,3e-04,NA
6789,2e-04,NA
6790,2e-04,NA
6791,2e-04,NA
6792,2e-04,NA
6793,2e-04,NA
6794,3e-04,NA
6795,2e-04,NA
6796,2e-04,NA
6797,2e-04,NA
6798,2e-04,NA
6799,2e-04,NA
6800,2e-04,NA
6801,2e-04,NA
6802,2e-04,NA
6803,3e-04,NA
6804,2e-04,NA
6805,2e-04,NA
6806,3e-04,NA
6807,3e-04,NA
6808,3e-04,NA
6809,2e-04,NA
6810,2e-04,NA
6811,3e-04,NA
6812,0.000218181818181826,NA
6813,3e-04,NA
6814,3e-04,NA
6815,3e-04,NA
6816,3e-04,NA
6817,0.000308333333333343,NA
6818,4e-04,NA
6819,4e-04,NA
6820,3e-04,NA
6821,0.000341666666666672,NA
6822,3e-04,NA
6823,3e-04,NA
6824,3e-04,NA
6825,3e-04,NA
6826,0.00035,NA
6827,3e-04,NA
6828,4e-04,NA
6829,3e-04,NA
6830,0.000372727272727302,NA
6831,4e-04,NA
6832,4e-04,NA
6833,3e-04,NA
6834,4e-04,NA
6835,4e-04,NA
6836,0.000436363636363619,NA
6837,4e-04,NA
6838,5e-04,NA
6839,4e-04,NA
6840,4e-04,NA
6841,5e-04,NA
6842,6e-04,NA
6843,5e-04,NA
6844,4e-04,NA
6845,4e-04,NA
6846,5e-04,NA
6847,4e-04,NA
6848,4e-04,NA
6849,4e-04,NA
6850,0.000308333333333314,NA
6851,5e-04,NA
6852,0.000533333333333343,NA
