"site_id","entity_id","entity_name","entity_status","corresponding_current","persist_id","depth_ref","geology","rock_age","wokam","vegetation_type","land_use","copernicus_lcc","cover_type","cover_thickness","host_rock_trace_elements","drip_water_trace_elements","distance_entrance","speleothem_type","drip_type","drip_height","d13C","d18O","iso_std","d18O_water_equilibrium","d18O_dripwater_carbonate_difference","organics","fluid_inclusions","mineralogy_petrology_fabric","clumped_isotopes","noble_gas_temperatures","C14","ODL","Sr_Ca","Sr_Ca_method","Sr_Ca_std","Sr_Ca_downsampled","Sr_Ca_downsampling_method","Mg_Ca","Mg_Ca_method","Mg_Ca_std","Mg_Ca_downsampled","Mg_Ca_downsampling_method","Ba_Ca","Ba_Ca_method","Ba_Ca_std","Ba_Ca_downsampled","Ba_Ca_downsampling_method","U_Ca","U_Ca_method","U_Ca_std","U_Ca_downsampled","U_Ca_downsampling_method","P_Ca","P_Ca_method","P_Ca_std","P_Ca_downsampled","P_Ca_downsampling_method","Sr_isotopes","Sr_isotopes_method","Sr_isotopes_std","trace_elements_datafile","trace_elements_metadatafile","cave_map","entity_scan","contact","data_DOI_URL"
1,1,"BT-1","current",NA,"1-BT1","from top","limestone","Pleistocene","discontinuous carbonate","unknown","unknown","closed forest, evergreen needle leaf","unknown",30,"no","no",32.4,"stalagmite","unknown",NA,"yes","yes","Vienna-PDB","unknown",NA,"no","no","yes","no","no","no","no","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,"no",NA,"no","no","Hai Cheng","https://www.ncdc.noaa.gov/paleo/study/20449"
1,2,"BT-2.1","current",NA,"1-BT21","from top","limestone","Pleistocene","discontinuous carbonate","unknown","unknown","closed forest, evergreen needle leaf","unknown",30,"no","no",32.4,"stalagmite","unknown",NA,"yes","yes","Vienna-PDB","unknown",NA,"no","no","yes","no","no","no","no","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,"no",NA,"no","no","Hai Cheng","https://www.ncdc.noaa.gov/paleo/study/20449"
1,3,"BT-2.2","current",NA,"1-BT22","from top","limestone","Pleistocene","discontinuous carbonate","unknown","unknown","closed forest, evergreen needle leaf","unknown",30,"no","no",32.4,"stalagmite","unknown",NA,"yes","yes","Vienna-PDB","unknown",NA,"no","no","yes","no","no","no","no","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,"no",NA,"no","no","Hai Cheng","https://www.ncdc.noaa.gov/paleo/study/20449"
1,4,"BT-2.3","current",NA,"1-BT23","from top","limestone","Pleistocene","discontinuous carbonate","unknown","unknown","closed forest, evergreen needle leaf","unknown",30,"no","no",32.4,"stalagmite","unknown",NA,"yes","yes","Vienna-PDB","unknown",NA,"no","no","yes","no","no","no","no","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,"no",NA,"no","no","Hai Cheng","https://www.ncdc.noaa.gov/paleo/study/20449"
1,5,"BT-2.4","current",NA,"1-BT24","from top","limestone","Pleistocene","discontinuous carbonate","unknown","unknown","closed forest, evergreen needle leaf","unknown",30,"no","no",32.4,"stalagmite","unknown",NA,"yes","yes","Vienna-PDB","unknown",NA,"no","no","yes","no","no","no","no","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,"no",NA,"no","no","Hai Cheng","https://www.ncdc.noaa.gov/paleo/study/20449"
1,6,"BT-2.5","current",NA,"1-BT25","from top","limestone","Pleistocene","discontinuous carbonate","unknown","unknown","closed forest, evergreen needle leaf","unknown",30,"no","no",32.4,"stalagmite","unknown",NA,"yes","yes","Vienna-PDB","unknown",NA,"no","no","yes","no","no","no","no","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,"no",NA,"no","no","Hai Cheng","https://www.ncdc.noaa.gov/paleo/study/20449"
1,7,"BT-4","current",NA,"1-BT4","from top","limestone","Pleistocene","discontinuous carbonate","unknown","unknown","closed forest, evergreen needle leaf","unknown",30,"no","no",32.4,"stalagmite","unknown",NA,"yes","yes","Vienna-PDB","unknown",NA,"no","no","yes","no","no","no","no","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,"no",NA,"no","no","Hai Cheng","https://www.ncdc.noaa.gov/paleo/study/20449"
1,8,"BT-6","current",NA,"1-BT6","from top","limestone","Pleistocene","discontinuous carbonate","unknown","unknown","closed forest, evergreen needle leaf","unknown",30,"no","no",32.4,"stalagmite","unknown",NA,"yes","yes","Vienna-PDB","unknown",NA,"no","no","yes","no","no","no","no","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,"no",NA,"no","no","Hai Cheng","https://www.ncdc.noaa.gov/paleo/study/20449"
1,9,"BT-8","current",NA,"1-BT8","from top","limestone","Pleistocene","discontinuous carbonate","unknown","unknown","closed forest, evergreen needle leaf","unknown",30,"no","no",32.4,"stalagmite","unknown",NA,"yes","yes","Vienna-PDB","unknown",NA,"no","no","yes","no","no","no","no","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,"no",NA,"no","no","Hai Cheng","https://www.ncdc.noaa.gov/paleo/study/20449"
1,10,"BT-9","current",NA,"1-BT9","from top","limestone","Pleistocene","discontinuous carbonate","unknown","unknown","closed forest, evergreen needle leaf","unknown",30,"no","no",32.4,"stalagmite","unknown",NA,"yes","yes","Vienna-PDB","unknown",NA,"no","no","yes","no","no","no","no","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,"no",NA,"no","no","Hai Cheng","https://www.ncdc.noaa.gov/paleo/study/20449"
