"sample_id","gap"
272630,"G"
272912,"G"
272926,"G"
273021,"G"
279998,"G"
280055,"G"
305797,"G"
305970,"G"
310972,"G"
311024,"G"
311132,"G"
311161,"G"
311184,"G"
311213,"G"
311223,"G"
311355,"G"
311385,"G"
311392,"G"
311394,"G"
311398,"G"
311405,"G"
311407,"G"
311417,"G"
398796,"G"
399672,"G"
399707,"G"
399769,"G"
425994,"G"
426109,"G"
426120,"G"
426152,"G"
432620,"G"
439860,"G"
463302,"G"
463305,"G"
463308,"G"
463310,"G"
463342,"G"
463415,"G"
463470,"G"
463490,"G"
463491,"G"
463503,"G"
463504,"G"
463520,"G"
463538,"G"
463546,"G"
463547,"G"
