"site_id","notes"
2,"No precision reported for XRF analysis. Original trace-element data given as ppm, presumably by weight in calcite, which has been converted to mmol/mol. Trace-element data begin at 2.737 mm depth, whereas stable-isotope data only begin at 5.0 mm depth and end at 124.8 Elemental data have been downsampled to stable-isotope interval of 0.2 mm using linear interpolation (by JLB) Sr/Ca(mmol/mol) = [ Sr(ppm) * (88/100.8) ] / 1000 Mg/Ca(mmol/mol) = [ Mg(ppm) * (25/100.8) ] / 1000 Sr/Ca(mmol/mol) = [ Ba(ppm) * (138/100.8) ] / 1000 Sr/Ca(mmol/mol) = [ U(ppm) * (238/100.8) ] / 1000."
3,"Entity PAR03 (entity_id = 21) is not actively growing when collected."
4,"Vil-stm11 (entity_id = 29): Detrital Th correction made only on the top two samples (dating_id = 8198 and 8199). U-Th ages for entity_id=29 were calculated using the following decay constants: 234U: 2.835*10^(-6)/yr, 238U: 1.55125*10^(-10)/yr, 230Th: 9.1952*10^(-6)/yr, 232Th: 4.9475*10^(-11)/yr. Decay constants are probably derived from the following papers: 230Th: Meadows et al.,1980, 234U: average value from De Bievre et al. 1971 and Lounsbury and Durham 1971. \\ Vil-stm1 (entity_id = 29): The normalisation to Ca for trace elements is assumed based on the best of our knowledge, contact with authors was not possible.\\ Vegetation: mainly oak and hornbeam forest, the part of the cave where stalagmite stm-1 was sampled is covered by grassland. Host rock cover thickness over the cave is given as an average in the sheet. The thickness reported in the paper is 25-45 m."
5,"Entity JFYK2 (entity_id = 877) age_model_type: MOD-AGE. No sample depth data was available for this entity. Event hiatus marked at 30mm in the study, but according to Fig. 2 (and entity scan) there are no age measurements before the hiatus, so depth 28mm was assigned to the hiatus. \\ The sisal_chronology age models for entity YK61 (entity_id = 38) were run manually."
7,"Vegetation: Mixed grassland and woodland, dominated by grasses using the C4 photosynthetic pathway. \\ Stable isotope record of T7_1999 (entity_id = 46) was published in Stevenson et al., 1999; the dating information was published in Holmgren et al., 1999. In the Dating Information of T7_1999 (entity_id = 46), all empty fields of the 230Th/232Th ratio had values above 1000. The content of initial thorium is considered minimal and no correction was needed. In the original data at entity T5 (entity_id = 45) at depth 244mm there were two delta values, these were averaged out. d18O: -2.31 & -2.48; d13C: -3.38 & -3.2. \\ Entity T8 (entity_id = 48): There is a hiatus in between sample_id = 17044 and 17045 (interp_age = 10110 and 12590, respectively); depth of hiatus was not provided."
8,"Vegetation: Moorland. \\In all entities from this site (LH-70s-1 (entity_id = 50), LH-70s-2 (entity_id = 51), LH-70s-3 (entity_id = 52)), the depth_sample duplications are for levels at which the line of samples has been shifted laterally along a growth layer (e.g. the sample line had to sidestep to avoid a vug or the same layer had to be sampled across a break in the slab). \\ Entity LH-70s-1 (entity_id = 50): Potential hiatus at approximately 201.5mm cannot be confirmed."
9,"Entity TON-2 (entity_id = 54) is not actively growing when collected. Trace-element data is at half the sampling resolution of reported stable-isotope data (already in SISAL). Sr/Ca ratios were converted to mmol/mol from values reported in original publication (assumed to be mg/g)."
10,"Vegetation: Semi-deciduous. \\ Entity JAR_composite (entity_id = 449): Valdir Novello constructed this unpublished composite record. If used individually, please cite the references of the individual records that were used to construct this composite."
11,"Sample data tab: Entity Jeita-1; The following interp_age occured more than once: 6962, 6964, 6967, 6969, 6972, 6974, 7327, 7332, 7337, 12089, 12091, 12094, 12096, 12099, 12101, 12104, 12106, 12109, 12111 Row: [677, 678], [680, 681], [684, 685], [687, 688], [691, 692], [694, 695], [744, 745], [750, 751], [756, 757], [1528, 1529], [1531, 1532], [1535, 1536], [1538, 1539], [1542, 1543], [1545, 1546], [1549, 1550], [1552, 1553], [1556, 1557], [1559, 1560]"
12,"Land use: Limestone and carbonaceous sandstone with coal layer. Limestone mine. \ Entity ML.1 and ML.2 (entity_id = 476, 477): isotope samples were obtained from ML.1 and ML.2 at 125-250 and 182-255 mm, respectively. Depths = 125mm (ML.1) and 182mm (ML.2) are reported here as depth = 0mm. \\ Entity KM-1 (entity_id = 495): Age-depth model inflection at 12ka is due to how the age model dealt with one date with a large error. \\ Entity MWS-1 (entity_id = 62): Mineralogy information could not be retrieved."
