"site_id","site_name","latitude","longitude","elevation","monitoring"
1,"Bittoo cave",30.7903,77.7764,3000,"yes"
2,"Kesang cave",42.87,81.75,2000,"no"
3,"Paraiso cave",-4.0667,-55.45,60,"yes"
4,"Villars cave",45.43,0.78,175,"yes"
5,"Yangkou cave",29.0333,107.1833,2140,"yes"
6,"Hulu cave",32.5,119.17,86,"unknown"
7,"Cold Air cave",-24,29.1833,1420,"yes"
8,"Lancaster Hole",54.2209,-2.5168,294,"yes"
9,"Tonnel’naya cave",38.4,67.23,3226,"no"
10,"Jaraguá cave",-21.083,-56.583,570,"yes"
11,"Jeita cave",33.95,35.65,100,"no"
12,"Mawmluh cave",25.2622,91.8817,1160,"yes"
13,"Ball Gown cave",-17.03,125,100,"yes"
14,"Lehman caves",39.01,-114.22,2080,"yes"
15,"Baschg cave",47.2501,9.6667,780,"no"
16,"Han-sur-Lesse cave",50.1164,5.1884,180,"no"
17,"Huangye cave",33.5833,105.1167,1650,"no"
18,"Abissal cave",-5.5642,-37.6659,100,"no"
19,"Kanaan cave",33.9069,35.6069,98,"yes"
20,"Secret cave",4.0848,114.8503,250,"unknown"
21,"Uamh an Tartair",58.14,-4.93,220,"yes"
22,"RukieSSa cave",8.6036,40.3772,1618,"yes"
23,"Lapa grande cave",-14.37,-44.28,590,"no"
24,"Lapa sem fim cave",-16.1503,-44.6281,341,"yes"
25,"Palestina cave",-5.92,-77.35,870,"yes"
26,"Okshola cave",67,15,165,"no"
27,"Tamboril cave",-16,-47,200,"yes"
28,"Valmiki cave ",15.15,77.8167,420,"no"
29,"Mairs cave",-32.16,138.83,475,"no"
30,"Lobatse cave",-25.21,25.68,1200,"no"
31,"Abaliget cave",46.1333,18.1167,209,"yes"
32,"Anjokipoty",-15.5784,46.7344,43,"no"
33,"Bero cave",8.4241,40.3073,1363,"yes"
34,"Cueva del Diablo",18.192,-99.921,1030,"no"
35,"Curupira cave",-15.2002,-56.7839,420,"no"
36,"Dayu cave",33.133,106.3,870,"no"
37,"DeSoto caverns",33.3722,-86.3667,150,"unknown"
38,"Diva cave",-12.3819,-41.5733,680,"no"
39,"Dongge cave",25.2833,108.0833,680,"no"
40,"Excentrica cave",37.1,-7.77,100,"yes"
41,"Fukugaguchi cave",36.9917,137.8,170,"yes"
42,"Ifoulki cave",30.708,-9.3275,1250,"no"
43,"Kalakot cave",33.2219,74.4258,826,"no"
44,"Kapsia cave",37.6233,22.3539,700,"yes"
45,"Kulishu cave",39.68,115.65,610,"no"
46,"Labyrintgrottan cave",66.06,14.68,730,"no"
47,"Larshullet cave",66.4381,14.1822,400,"no"
48,"Leviathan cave",37.89,-115.58,2400,"yes"
49,"McLean's cave",38.07,-120.42,300,"no"
50,"Moaning cave",38.0717,-120.4655,520,"no"
51,"Natural Bridge caverns",29.69,-98.34,306,"yes"
52,"Pau d'Alho cave",-15.2055,-56.8,340,"no"
53,"Pippikin Pot cave",54.2143,-2.5123,320,"yes"
54,"Sahiya cave",30.6,77.8667,1190,"no"
55,"Sieben Hengste cave",46.75,7.81,1955,"unknown"
56,"Skala Marion cave",40.6387,24.5144,41,"unknown"
57,"Soylegrotta cave",66,14,280,"yes"
58,"Spannagel cave",47.08,11.67,2310,"no"
59,"Suozi cave",32.43,107.17,700,"no"
60,"Taurius cave",-15.5333,167.0167,230,"no"
61,"Timta cave",29.8381,82.0336,1900,"no"
62,"Torrinha cave",-12.3495,-41.6038,680,"unknown"
63,"Tzabnah cave",20.73,-89.716,20,"unknown"
64,"Wah Shikhar cave",25.25,91.8667,1290,"no"
65,"Whiterock cave",4.15,114.86,250,"unknown"
66,"White Scar cave",54.1656,-2.4419,255,"yes"
67,"Clearwater/Wind caves connection",4.1,114.83,224,"unknown"
68,"Jerusalem west cave",31.7833,35.15,700,"unknown"
69,"Xinglong cave",40.5,117.5,710,"yes"
70,"Abaco Island cave",26.23,-77.16,-45,"no"
71,"Baradla cave",48.4667,20.5,375,"yes"
72,"Ascunsa cave",45,22.6,1050,"yes"
73,"Bourgeois–Delaunay cave",45.6678,0.5133,100,"no"
74,"Cango cave",-33.3925,22.2147,687,"no"
75,"Cave Without a Name",29.8852,-98.6208,377,"yes"
76,"Ceremosnja cave",44.4,21.65,530,"yes"
77,"Chauvet cave",44.23,4.26,240,"yes"
78,"Chilibrillo cave",9.1741,-79.6164,60,"no"
79,"Dim cave",36.534,32.1056,232,"no"
80,"Furong cave",29.2289,107.9036,480,"yes"
81,"Gueldaman cave",36.4333,4.5667,507,"no"
82,"Hollywood cave",-41.95,171.47,100,"unknown"
83,"La Mine cave",36.03,9.68,975,"no"
